"http://dbpedia.org/resource/Metropolitan_Museum_of_Art","metropolitan museum of art","2"
"http://dbpedia.org/resource/Centre_Georges_Pompidou","centre   pompidou","10"
"http://dbpedia.org/resource/Museo_del_Prado","museo del prado","8"
"http://dbpedia.org/resource/The_Louvre","musée du louvre","4"
"http://dbpedia.org/resource/City_Museum","city museum","9"
"http://dbpedia.org/resource/Whitney_Museum_of_American_Art","whitney museum of american art","14"
"http://dbpedia.org/resource/Creation_Museum","creation museum","12"
"http://dbpedia.org/resource/Natural_history_museum","natural history museum","18"
"http://dbpedia.org/resource/Salvador_Dali_Museum","salvador dali museum","17"
"http://dbpedia.org/resource/Tate_Modern","tate modern","6"
"http://dbpedia.org/resource/British_Museum","british museum","13"
"http://dbpedia.org/resource/American_Museum_of_Natural_History","american museum of natural history","19"
"http://dbpedia.org/resource/Design_Museum","design museum","7"
"http://dbpedia.org/resource/Acropolis_Museum","acropolis museum","3"
"http://dbpedia.org/resource/New_Museum","new museum","16"
"http://dbpedia.org/resource/Victoria_and_Albert_Museum","victoria &amp; albert museum","11"
"http://dbpedia.org/resource/Museum_of_Modern_Art","moma   the museum of modern art","1"
"http://dbpedia.org/resource/Solomon_R._Guggenheim_Museum","guggenheim museum","5"
"http://dbpedia.org/resource/J._Paul_Getty_Museum","the   getty museum","15"
"http://dbpedia.org/resource/National_Museum_of_the_American_Indian","national museum of the american indian","20"
