"","Animals of the Bible , A Picture Book"
"","Mei Li"
"Ingri &amp; Edgar Parin d&apos;Aulaire","Abraham Lincoln"
"","They Were Strong and Good"
"Robert McCloskey","Make Way for Ducklings"
"","The Little House"
"James Thurber","Many Moons"
"by ; text","Prayer for a Child"
"","The Rooster Crows"
"","The Little Island"
"","White Snow , Bright Snow"
"","The Big Snow"
"Leo Politi","Song of the Swallows"
"","The Egg Tree"
"by Nicolas , pseud","Finders Keepers"
"","The Biggest Bear"
"Ludwig Bemelmans","Madeline&apos;s Rescue"
"","Cinderella , or the Little Glass Slipper"
"","Frog Went A - Courtin&apos; ,"
"","A Tree Is Nice"
"Robert McCloskey","Time of Wonder"
"","Chanticleer and the Fox"
"","Nine Days to Christmas"
"","Baboushka and the Three Kings"
"and illustrated","Once a Mouse"
"Ezra Jack Keats","The Snowy Day"
"Maurice Sendak","Where the Wild Things Are"
"","May I Bring a Friend ?"
"","Always Room for One More"
"","Sam , Bangs &amp; Moonshine"
"","Drummer Hoff"
"","The Fool of the World and the Flying Ship"
"William Steig","Sylvester and the Magic Pebble"
"and illustrated","A Story A Story"
"and illustrated","One Fine Day"
"","The Funny Little Woman"
"by ; retold","Duffy and the Devil"
"","Arrow to the Sun"
"Leo and Diane Dillon","Why Mosquitoes Buzz in People&apos;s Ears"
"Leo and Diane Dillon","Ashanti to Zulu : African Traditions"
"","Noah&apos;s Ark"
"","The Girl Who Loved Wild Horses"
"","Ox - Cart Man"
"","Fables"
"Chris Van Allsburg","Jumanji"
"",""
"","The Glorious Flight : Across the Channel with Louis Bleriot"
"Hyman","George and the Dragon"
"Chris Van Allsburg","The Polar Express"
"","Hey , Al"
"John Schoenherr",""
"Stephen Gammell","Song and Dance Man"
"","Lon Po Po : A Red - Riding Hood Story from China"
"David Macaulay","Black and White"
"","Tuesday"
"","Mirette on the High Wire"
"",""
"","Smoky Night"
"",""
"","Golem"
"","Rapunzel"
"","Snowflake Bentley"
"Simms Taback",""
"",""
"",""
"Eric Rohmann",""
"",""
"",""

