"The Hidden Staircase","","1959"
"The Mystery At Lilac Inn","","1961"
"The Secret Of Red Gate Farm","","1961"
"Nancy&apos;s Mysterious Letter","","1968"
"10 ) The Password To Larkspur Lane","","1966"
"11 ) The Clue Of The Broken Locket","","1965"
"14 ) The Whispering Statue","","1970"
"16 ) The Clue Of The Tapping Heels","","1969"
"18 ) The Mystery Of The Moss Covered Mansion","","1971"
"( 20 ) The Clue In The Jewel Box","1943","72"
"( 22 ) The Clue In The Crumbling Wall","1945","73"
"( 25 ) The Ghost Of Blackwood Hall","","1967"
"27 ) The Secret Of The Wooden Lady","","1967"
"Mystery At The Ski Jump","1952","68"

