"Eurasian Woodcock","Scolopax rusticola",""
"Amami Woodcock","Scolopax mira",""
"Dusky Woodcock","Scolopax saturata",""
"Sulawesi Woodcock","Scolopax celebensis",""
"Moluccan Woodcock","Scolopax rochussenii",""
"American Woodcock","Scolopax minor",""
"Chatham Snipe","Coenocorypha pusilla",""
"Subantarctic Snipe","Coenocorypha aucklandica",""
"Jack Snipe","Lymnocryptes minimus",""
"Solitary Snipe","Gallinago solitaria",""
"Latham&apos;s Snipe","Gallinago hardwickii",""
"Wood Snipe","Gallinago nemoricola",""
"Pintail Snipe","Gallinago stenura",""
"Swinhoe&apos;s Snipe","Gallinago megala",""
"African Snipe","Gallinago nigripennis",""
"Madagascar Snipe","Gallinago macrodactyla",""
"Great Snipe","Gallinago media",""
"Common Snipe","Gallinago gallinago",""
"South American Snipe","Gallinago paraguaiae",""
"Noble Snipe","Gallinago nobilis",""
"Giant Snipe","Gallinago undulata",""
"Fuegian Snipe","Gallinago stricklandii",""
"Andean Snipe","Gallinago jamesoni",""
"Imperial Snipe","Gallinago imperialis",""
"Short - billed Dowitcher","Limnodromus griseus",""
"Long - billed Dowitcher","Limnodromus scolopaceus",""
"Asiatic Dowitcher","Limnodromus semipalmatus",""
"Black - tailed Godwit","Limosa limosa",""
"Hudsonian Godwit","Limosa haemastica",""
"Bar - tailed Godwit","Limosa lapponica",""
"Marbled Godwit","Limosa fedoa",""
"Little Curlew","Numenius minutus",""
"Eskimo Curlew","Numenius borealis","Conservation status : Critical"
"Whimbrel","Numenius phaeopus",""
"Bristle - thighed Curlew","Numenius tahitiensis",""
"Slender - billed Curlew","Numenius tenuirostris","Conservation status : Critical"
"Eurasian Curlew","Numenius arquata",""
"Eastern Curlew","Numenius madagascariensis",""
"Long - billed Curlew","Numenius americanus",""
"Upland Sandpiper","Bartramia longicauda",""
"Spotted Redshank","Tringa erythropus",""
"Common Redshank","Tringa totanus",""
"Marsh Sandpiper","Tringa stagnatilis",""
"Common Greenshank","Tringa nebularia",""
"Spotted Greenshank","Tringa guttifer","Conservation status : Endangered"
"Greater Yellowlegs","Tringa melanoleuca",""
"Lesser Yellowlegs","Tringa flavipes",""
"Green Sandpiper","Tringa ochropus",""
"Solitary Sandpiper","Tringa solitaria",""
"Wood Sandpiper","Tringa glareola",""
"Terek Sandpiper","Xenus cinereus",""
"Common Sandpiper","Actitis hypoleucos",""
"Spotted Sandpiper","Actitis macularia",""
"Grey - tailed Tattler","Heterosceles brevipes",""
"Wandering Tattler","Heterosceles incanus",""
"Willet","Catoptrophorus semipalmatus",""
"Tuamotu Sandpiper","Prosobonia cancellata","Conservation status : Endangered"
"Ruddy Turnstone","Arenaria interpres",""
"Black Turnstone","Arenaria melanocephala",""
"","",""
"Great Knot","Calidris tenuirostris",""
"Red Knot","Calidris canutus",""
"Sanderling","Calidris alba",""
"Semipalmated Sandpiper","Calidris pusilla",""
"Western Sandpiper","Calidris mauri",""
"Red - necked Stint","Calidris ruficollis",""
"Little Stint","Calidris minuta",""
"Temminck&apos;s Stint","Calidris temminckii",""
"Long - toed Stint","Calidris subminuta",""
"Least Sandpiper","Calidris minutilla",""
"White - rumped Sandpiper","Calidris fuscicollis",""
"Baird&apos;s Sandpiper","Calidris bairdii",""
"Pectoral Sandpiper","Calidris melanotos",""
"Sharp - tailed Sandpiper","Calidris acuminata",""
"Curlew Sandpiper","Calidris ferruginea",""
"Stilt Sandpiper","Calidris himantopus",""
"Purple Sandpiper","Calidris maritima",""
"Rock Sandpiper","Calidris ptilocnemis",""
"","",""
"","",""
"Broad - billed Sandpiper","Limicola falcinellus",""
"Buff - breasted Sandpiper","Tryngites subruficollis",""
"Ruff","Philomachus pugnax",""
"Wilson&apos;s Phalarope","Steganopus tricolor",""
"Red - necked Phalarope","Phalaropus lobatus",""
"Red Phalarope","Phalaropus fulicaria",""

