"Kuch Kuch Hota Hai","","Filmfare Best Supporting Actress Award ,"
"Kuch Kuch Hota Hai","","Zee Cine Award &quot;Best Actress in a Supporting Role&quot;"
"Har Dil Jo Pyaar Karega","","Aashirwaad &quot;Best Actress&quot; ,"
"Saathiya","","Anandlok &quot;Best Actress&quot;"
"Saathiya","","Critics Award Best Performance ,"
"Saathiya","","Sansui Awards &quot;Best Performance of the Year&quot;"
"Saathiya","","Bollywood Awards &quot;Most Sensational Actress&quot;"
"Hum Tum","","Filmfare Best Actress Award ,"
"Yuva","","Filmfare Best Supporting Actress Award ,"
"Hum Tum","","Zee Cine Award &quot;Best Actress&quot;"
"Hum Tum","","Screen Videocon Awards &quot;Best Actress&quot; ,"
"Yuva","","Screen Videocon Awards &quot;Best Actress in a Supporting Role&quot;"
"Hum Tum","","Sports World Award &quot;Best Actress&quot;"
"Veer - Zaara","","Sports World Award &quot;Best Actress in a Supporting Role&quot;"
"Hum Tum","","Sports World &quot;Jodi of the Year&quot;"
"Yuva","","Cinegoers Award &quot;Best Actress in a Supporting Role&quot;"
"Hum Tum","","GIFA Awards &quot;Best Actress&quot;"
"Hum Tum","","IIFA Best Actress Award"
"Veer - Zaara","","IIFA Best Actress in A Supporting Role"
"Hum Tum","","Bollywood Awards &quot;Best Actress&quot;"
"Yuva","","Bollywood Awards &quot;Best Actress in a Supporting Role&quot;"

