"Spirited Away","2001"
"Toy Story 2","1999"
"Toy Story","1995"
"",""
"",""
"The Little Mermaid","1989"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Bambi","1942"
"Dumbo","1941"
"Fantasia","1940"
"Pinocchio","1940"
"",""
"Snow White and the Seven Dwarfs","1937"
"",""
"",""
"Finding Nemo","2003"
"",""
"",""
"",""
"",""
"",""
"Beauty and the Beast","1991"
"Kiki&apos;s Delivery Service","1989"
"",""
"",""
"My Neighbor Totoro","1988"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Winnie the Pooh and the Honey Tree","1965"
"Mary Poppins","1964"
"101 Dalmatians","1961"
"Lady and the Tramp","1955"
"Cinderella","1950"
"",""
"",""
"",""
"Song of the South","1946"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"The Incredibles","2004"
"",""
"Teacher&apos;s Pet","2003"
"",""
"Lilo &amp; Stitch","2002"
"",""
"Monsters , Inc .","2001"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"A Bug&apos;s Life","1998"
"",""
"",""
"",""
"",""
"",""

