"Brock University","St . Catharines","","",""
"Carleton University","Ottawa","","",""
"Lakehead University","Thunder Bay","","",""
"Laurentian University","Sudbury","","",""
"McMaster University","Hamilton","","",""
"Queen&apos;s University","Kingston","","",""
"Royal Military College","Kingston","","",""
"University of Guelph","Guelph","","",""
"University of Ottawa","Ottawa","","",""
"University of Toronto","Toronto","","",""
"University of Western Ontario","London","","",""
"University of Windsor","Windsor","","",""
"Wilfrid Laurier University","Waterloo","","",""
"York University","Toronto","","",""

