"Con Mine","1938 - 2003","gold"
"Giant Mine","1948 - 2004","gold"
"Ptarmigan and Tom Mine","1941 - 1942 , 1986 - 1997","gold"
"Negus Mine","1939 - 1952","gold"
"Thompson - Lundmark Mine","1941 - 1943 , 1947 - 1949","gold"
"Discovery Mine","1950 - 1969","gold"
"Camlaren Mine","1962 - 1963 , 1980 - 1981","gold"
"Eldorado Mine","1933 - 1940 , 1942 - 1960 , 1976 - 1982","radium , uranium , silver , copper"
"Echo Bay Mine","1964 - 1975","silver and copper"
"Ekati Diamond Mine","1998 - current","diamonds"
"Diavik Diamond Mine","2003 - current","diamonds"
"Pine Point Mine","1964 - 1988","lead and zinc"
"Cantung Mine","1962 - 1986 , 2002 - 2003","tungsten"
"Rayrock Mine","1957 - 1959","uranium"
"Terra Mine","1969 - 1985","silver and copper"
"Tundra Mine","1964 - 1968","gold"
"Salmita Mine","1983 - 1987","gold"
"Colomac Mine","1990 - 1992 , 1994 - 1997","gold"

