"","",""
"","",""
"Kabhi Alvida Na Kehna","",""
"","",""
"The Rising","",""
"Paheli","",""
"Bunty Aur Babli","",""
"Black","",""
"Veer - Zaara","Saamiya Siddiqui","Filmfare Best Supporting Actress Award"
"Hum Tum","Rhea Prakash","Winner , Filmfare Best Actress Award"
"Yuva","Sashi Biswas","Winner , Filmfare Best Supporting Actress Award"
"","",""
"Kal Ho Naa Ho","Special Appearance",""
"Chori Chori","Kushi",""
"Calcutta Mail","Bulbul",""
"Chalte Chalte","Priya Chopra","nominated , Filmfare Best Actress Award"
"Saathiya","Suhani Sharma","nominated , Filmfare Best Actress Award"
"Mujhse Dosti Karoge !","Pooja Sahani",""
"Chalo Ishq Ladaaye","Sapna",""
"Pyaar Diwana Hota Hai","Payal Khurana",""
"Kabhi Khushi Kabhie Gham","Naina",""
"Nayak","Manjari",""
"Bas Itna Sa Khwaab Hai","Pooja",""
"Chori Chori Chupke Chupke","Priya Malhotra",""
"","",""
"Kahin Pyaar Na Ho Jaaye","Priya Sharma",""
"Har Dil Jo Pyar Karega","Pooja Oberoi","Filmfare Best Supporting Actress"
"Bichhoo","Kiran Bali",""
"","",""
"Hey ! Ram","Aparna Ram",""
"Badal","",""
"Hello Brother","Rani",""
"Mann","special appearance",""
"Mehndi","",""
"Kuch Kuch Hota Hai","Tina Malhotra","Winner , Filmfare Best Supporting Actress Award"
"Ghulam","Alisha",""
"Raja Ki Aayegi Baraat","Mala",""

