"Ad Extremas","","Seminaries for Native Clergy","June 24 , 1893"
"Adiutricem","","On the Rosary","September 5 , 1895"
"Aeterni Patris","","On the Restoration of Christian Philosophy","August 4 , 1879"
"Affari Vos","","On the Manitoba School Question","December 8 , 1897"
"Annum Sacrum","","Consecration to the Sacred Heart","May 25 , 1899"
"Apostolicae Curae","","On the Nullity of Anglican Orders","September 15 , 1896 [ Bull ]"
"Arcanum","","On Christian Marriage","February 10 , 1880"
"Au Milieu Des Sollicitudes","","On the Church and State in France","February 16 , 1892"
"Augustissimae Virginis Mariae","","On the Confraternity of the Holy Rosary","September 12 , 1897"
"Auspicato Concessum","","On St . Francis of Assisi","September 17 , 1882"
"Caritatis Studium","","On the Church in Scotland","July 25 , 1898"
"Catholicae Ecclesiae","","On Slavery in the Missions","November 20 , 1890"
"Christi Nomen","","On Propogation of the Faith and Eastern Churches","December 24 , 1894"
"Constanti Hungarorum","","On the Church in Hungary","September 2 , 1893"
"Cum Multa","","On Conditions in Spain","December 8 , 1882"
"Custodi Di Quella Fede","","On Freemasonry","December 8 , 1892"
"Dall&apos;alto Dell&apos;apostolico Seggio","","On Freemasonry in Italy","October 15 , 1890"
"Depuis Le Jour","","On the Education of the Clergy","September 8 , 1899"
"Diuturni Temporis","","On the Rosary","September 5 , 1898"
"Diuturnum","","On the Origin of Civil Power","June 29 , 1881"
"Divinum Illud Munus","","On the Holy Spirit Divinum","May 9 , 1897"
"Dum Multa","","Marriage Legislation","December 24 , 1902"
"Etsi Cunctas","","On the Church in Ireland","December 21 , 1888"
"Etsi Nos","","On Conditions in Italy","February 15 , 1882"
"Exeunte Iam Anno","","On Right Ordering of Christian Life","December 25 , 1888"
"Fidentem Piumque Animum","","On the Rosary","September 20 , 1896"
"Fin Dal Principio","","On the Education of the Clergy","December 8 , 1902"
"Grande Munus","","On Saints Cyril and Methodius","September 30 , 1880"
"Graves De Communi Re","","On Christian Democracy","January 18 , 1901"
"Gravissimas","","On Religious Orders in Portugal","May 16 , 1901"
"Humanum Genus","","On Freemasonry","April 20 , 1884"
"Iampridem","","On Catholicism in Germany","January 6 , 1886"
"Immortale Dei","","On the Christian Constitution of States","November 1 , 1885"
"In Amplissimo","","On the Church in the United States","April 15 , 1902"
"In Ipso","","On Episcopal Reunions in Austria","March 3 , 1891"
