"101 Dalmations","1961"
"The Aristocats","1970"
"Atlantis : The Lost Empire","2001"
"Beauty and","1991"
"Dinosaur","2000"
"Dumbo","1941"
"The Emperor&apos;s New Groove","2000"
"Fantasia","1940"
"The Fox and the Hound","1981"
"Hercules","1997"
"The Hunchback of Notre Dame","1996"
"The Jungle Book","1967"
"Lady and the Tramp","1955"
"The Lion King","1994"
"The Little Mermaid","1989"
"Monsters , Inc .","2001"
"Mulan","1998"
"Peter Pan","1953"
"Pinocchio","1940"
"Sleeping Beauty","1959"
"Snow White and the Seven Dwarfs","1937"
"The Sword in the Stone","1963"
"Tarzan : Collector&apos;s Edition","1999"
"The Tigger Movie","2000"

