"Brock University","St . Catharines","","",""
"Carleton University","Ottawa","","",""
"","","","",""
"","","","",""
"","","","",""
"Nipissing University","North Bay","","",""
"","","","",""
"Ryerson University","Toronto","","",""
"Trent University","Peterborough","","",""
"","","","",""
"University of Guelph","Toronto","","",""
"","","","",""
"University of Waterloo","Ontario","","",""
"University","","","",""
"Wilfrid Laurier University","Waterloo","","",""
"York University","Toronto","","",""
"","","","",""
"","","","",""
"","","","",""

