"Ad Extremas","","Seminaries for Native Clergy","June 24 , 1893"
"Adiutricem","","On The Rosary","September 5 , 1895"
"Aeterni Patris","","On Restoring Christian Philosophy","August 4 , 1879"
"Affari Vos","","On The Manitoba School Question","December 8 , 1897"
"Annum Sacrum","","On Consecration To The Sacred Heart","May 25 , 1899"
"","","",""
"Arcanum Divinae","","On Christian Marriage","February 10 , 1893"
"Au Millieu Des Sollicitudes","","On the Church and State in France","February 16 , 1892"
"Augustissimae Virginis Mariae","","On The Confraternity Of The Holy Rosary","September 12 , 1897"
"Auspicato Concessum","","On St . Francis of Assisi","September 17 , 1882"
"Caritatis Studium","","On The Church In Scotland","July 25 , 1898"
"Catholicae Ecclesiae","","On Slavery in the Missions","November 20 , 1890"
"Christi Nomen","","On the Propagation of Faith and Eastern Churches","December 24 , 1894"
"Constanti Hungarorum","","On the Church in Hungary","September 2 , 1893"
"Cum Multa","","On Conditions in Spain","December 8 , 1882"
"Custodi Di Quella Fede","","On Freemasonry","December 8 , 1892"
"Dall&apos;alto Dell&apos;apostolico Seggio","","On Freemasonry in Italy","October 15 , 1890"
"Depuis Le Jour","","On The Education Of The Clergy","September 8 , 1899"
"Diuturni Temporis","","On The Rosary","September 5 , 1898"
"Diuturnum","","On the Origin of Civil Power","June 29 , 1881"
"Divinum Illud Munus","","On The Holy Spirit","May 9 , 1897"
"Dum Multa","","Marriage Legislation","December 24 , 1902"
"Etsi Cunctas","","On the Church in Ireland","December 21 , 1888"
"Etsi Nos","","On Conditions in Italy","February 15 , 1882"
"Exeunte Lam Anno","","On the Right Ordering of Christian Life","December 25 , 1888"
"Fidentem Piumque Animum","","On The Rosary","September 20 , 1896"
"Fin Dal Principio","","On The Education Of The Clergy","December 8 , 1902"
"Grande Munus","","On Saints Cyril and Methodius","February 10 , 1880"
"Graves De Communi Re","","On Christian Democracy","January 18 , 1901"
"Gravissimas","","On Religious Orders In Portugal","16 , 1901"
"Humanum Genus","","On Freemasonry","March 20 , 1884"
"Iampridem","","On Catholicism in Germany","January 6 , 1886"
"Immortale Dei","","On the Christian Constitution of States","November 1 , 1885"
"In Amplissimo","","On The Church In The United States","April 15 , 1902"
"In Ipso","","On Episcopal Reunions in Austria","March 3 , 1891"
"In Plurimism","","On the Abolition of Slavery","May 5 , 1888"
"Inimica Vis","","On Freemasonry","December 8 , 1892"
"Inscrutabili Dei Consilio","","On the Evils of Society","April 21 , 1878"
"Insignes","","On The Hungarian Millennium","May 1 , 1896"
"Iucunda Semper Expectatione","","","September 8 , 1894"
"Laetitiae Sanctae","","On the Rosary","September 8 , 1893"
"Libertas","","On the Nature of Human Liberty","June 20 , 1888"
"Licet Multa","","On Catholics in Belgium","August 3 , 1881"
"Litteras A Vobis","","On the Clergy in Brazil","July 2 , 1894"
"Longinqua","","On Catholicism In The United States","January 6 , 1895"
"Lucunda Semper Expectatione","","On the Rosary","September 8 , 1894"
"Magnae Dei Matris","","On the Rosary","September 8 , 1892"
"Magni Nobis","","On the Catholic University of America","March 7 , 1889"
"Militantis Ecclesiae","","On St . Peter Canisius","August 1 , 1897"
"Mirae Caritatis","","On The Holy Eucharist","May 28 , 1902"
"Nobilissima Gallorum Gens","","On the Religious Question in France","February 8 , 1884"
"Octobri Mense","","On the Rosary","September 22 , 1891"
"Officio Sanctissimo","","On the Church in Bavaria","December 22 , 1887"
"Omnibus Compertum","","On Unity Among The Greek Melchites","July 21 , 1900"
"Pastoralis","","On Religious Union","June 25 , 1891"
"Pastoralis Officii","","On the Morality of Dueling","September 12 , 1891"
"Paternae","","On The Education Of Clergy","September 18 , 1899"
"Paterna Caritas","","Encyclical on Reunion with Rome","July 25 , 1888"
"Pergrata","","On the Church in Portugal","September 14 , 1886"
"Permoti Nos","","On Social Conditions In Belgium","July 10 , 1895"
"Providentissimus Deus","","On the Study of Sacred Scripture","November 18 , 1893"
"Quae Ad Nos","","On The Church In Bohemia And Moravia","November 22 , 1902"
"Quam Aerumnosa","","On Italian Immigrants","December 10 , 1888"
"Quamquam Pluries","","On Devotion to St . Joseph","August 15 , 1889"
"Quam Religiosa","","On Civil Marriage Law","August 16 , 1898"
"Quarto Abeunte Saeculo","","On the Columbus Quadricentennial","July 16 , 1892"
"Quod Anniversarius","","On the Occasion of the Sacerdotal Jubilee of Leo","April 11 , 1888"
"Quod Apostolici Muneris","","On the Evils of Socialism","December 28 , 1878"
"Quod Auctoritate","","Proclaiming the Extraordinary","December 22 , 1885"
"Quod Multum","","On the Liberty of the Church","August 22 , 1886"
"Quod Votis","","On The Proposed Catholic University","April 30 , 1902"
