"Ad Extremas","","","June 24 , 1893"
"Adiutricem","","","September 5 , 1895"
"","","",""
"Affari Vos","","the Manitoba School Question","December 8 , 1897"
"Annum Sacrum","","","May 25 , 1899"
"","","",""
"Augustissimae Virginis Mariae","","","September 12 , 1897"
"Au Milieu Des Sollicitudes","","","February 16 , 1892"
"","","",""
"","","",""
"Caritatis Studium","","","July 25 , 1898"
"Catholicae Ecclesiae","","","November 20 , 1890"
"Christi Nomen","","","December 24 , 1894"
"Constanti Hungarorum","","","September 2 , 1893"
"Cum Multa","","","December 8 , 1882"
"Custodi di quella Fede","","","December 8 , 1892"
"","","",""
"","","",""
"Diuturni Temporis","","","September 5 , 1898"
"","","",""
"Divinum Illud Munus","","","May 9 , 1897"
"Dum Multa","","","December 24 , 1902"
"Etsi Cunctas","","","December 21 , 1888"
"Etsi Nos","","","February 15 , 1882"
"Exeunte Iam Anno","","","December 25 , 1888"
"Fidentem Piumque Animum","","","September 20 , 1896"
"Fin dal Principio","","","December 8 , 1902"
"","","",""
"","","",""
"Gravissimas","","","May 16 , 1901"
"","","",""
"Iampridem","","","January 6 , 1886"
"","","",""
"In Amplissimo","","","April 15 , 1902"
"Inimica Vis","","","December 8 , 1892"
"In Ipso","","","March 3 , 1891"
"In Plurimis","","","May 5 , 1888"
"","","",""
"Insignes","","","May 1 , 1896"
"","","",""
"Iucunda Semper Expectatione","","","September 8 , 1894"
"Laetitiae Sanctae","","","September 8 , 1893"
"","","",""
"Licet Multa","","","August 3 , 1881"
"Litteras a Vobis","","","July 2 , 1894"
"Longinqua","","","January 6 , 1895"
"Magnae Dei Matris","","","September 8 , 1892"
"Magni Nobis","","","March 7 , 1889"
"Militantis Ecclesiae","","","August 1 , 1897"
"Mirae Caritatis","","","May 28 , 1902"
"Nobilissima Gallorum Gens","","","February 8 , 1884"
"","","",""
"Octobri Mense","","","September 22 , 1891"
"Officio Sanctissimo","","","December 22 , 1887"
"Omnibus Compertum","","","July 21 , 1900"
"Pastoralis","","","July 25 , 1891"
"Pastoralis Officii","","","September 12 , 1891"
"Paternae","","","September 18 , 1899"
"","","",""
"Pergrata","","","September 14 , 1886"
"Permoti Nos","","","July 10 , 1895"
"","","",""
"Quae Ad Nos","","","November 22 , 1902"
"Quam Aerumnosa","","","December 10 , 1888"
"Quamquam Pluries","","","August 15 , 1889"
"Quam Religiosa","","August 16 , 1898",""
"Quarto Abeunte Saeculo","","","July 16 , 1892"
"Quod Anniversarius","","","April 1 , 1888"
"","","",""

