"President of the People&apos;s Republic of China , General Secretary of the CPC .","Hu Jintao","","",""
"Chairman of the National People&apos;s Congress","Wu Bangguo","","",""
"Premier of the People&apos;s Republic of China","Wen Jiabao","","",""
"Chairman of the People&apos;s Political Consultative Conference","Jia Qinglin","","",""
"Vice - President of the People&apos;s Republic of China","Zeng Qinghong","","",""
"Vice Premier , State Council of China","Huang Ju","","",""
"secretary of the Central Commission for Discipline Inspection","Wu Guanzheng","","",""
"Guangdong provincial party secretary","Li Changchun","","",""
"State Councilor , Political and Legislative Affairs Committee secretary","Luo Gan","","",""

