"","",""
"","",""
"Bunty Aur Babli","Bably",""
"The Rising","Heera",""
"Black ( The Movie )","Michelle McNally",""
"Veer - Zaara","Saamiya Siddiqui",""
"Hum Tum","Rhea Prakash","Filmfare Best Actress Award"
"Yuva","Sashi Biswas","Filmfare Best Supporting Actress Award"
"LOC Kargil","",""
"Kal Ho Naa Ho","","Special Appearance ( song"
"Chori Chori","Kushi",""
"Calcutta Mail","Bulbul",""
"Chalte Chalte","Priya Chopra",""
"Saathiya","Suhani Sharma","Filmfare Best Actress Award"
"Mujhse Dosti Karoge !","Pooja Sahani",""
"Chalo Ishq Ladaaye","Sapna",""
"Pyaar Diwana Hota Hai","Payal Khurana",""
"Kabhi Khushi Kabhie Gham","Naina",""
"Nayak","Manjari",""
"Bas Itna Sa Khwaab Hai","Pooja",""
"Chori Chori Chupke Chupke","Priya Malhotra",""
"","",""
"Kahin Pyaar Na Ho Jaaye","Priya Sharma",""
"Har Dil Jo Pyar Karega","Pooja Oberoi",""
"Bichhoo","Kiran Bali",""
"Hadh Kardi Aapne","Anjali Khanna",""
"Hey ! Ram","Aparna Ram",""
"Badal","",""
"Hello Brother","Rani",""
"Mann","","Special Appearance ( song"
"Mehndi","",""
"Kuch Kuch Hota Hai","Tina Malhotra","Filmfare Best Supporting Actress Award"
"Ghulam","Alisha",""
"Raja Ki Aayegi Baraat","Mala",""

