"Vasco NuÃÂ±ez de Balboa","Spanish","",""
"William Baffin","","",""
"Samuel Baker","","",""
"Heinrich Barth","","","Northern and Central Africa"
"Willem Barents","Dutch","","Northeast Passage"
"Abu Abdullah Muhammad Ibn Battuta","China","places","Tombouctou and other"
"Nicolas Baudin","French","18th","Australian"
"Fabian Gottlieb von Bellingshausen","Russian","",""
"Moric Benovsky","","","Slovak"
"Vitus Bering","","",""
"Saint Brendan","Irish","","Atlantic Ocean"
"James Bruce","","",""
"Richard Francis Burton","","",""
"Richard E . Byrd","","",""

