"","Lisa&apos;s Rival","","Mike Scully","",""
"","Bart of Darkness","","Dan McGrath","",""
"","Another Simpsons Clip Show","","Penny Wise","",""
"","Itchy &amp; Scratchy Land","","John Swartzwelder","",""
"","Sideshow Bob Roberts","","Bill Oakley &amp; Josh Weinstein","",""
"","Nightmare Cafeteria","","David S . Cohen","",""
"","Bart&apos;s Girlfriend","","John Collier","",""
"","Lisa on Ice","","Mike Scully","",""
"","Homer : Bad Man","","Greg Daniels","",""
"","Grampa vs . Sexual Inadequacy","","Bill Oakley &amp; Josh Weinstein","",""
"","Fear of Flying","","David Sacks","",""
"","Homer the Great","","John Swartzwelder","",""
"","A Star is Burns","","","",""
"","And Maggie Makes Three","","Jennifer Crittenden","",""
"","Bart&apos;s Comet","","John Swartzwelder","",""
"","Homie the Clown","","John Swartzwelder","",""
"","Bart vs . Australia","","Bill Oakley &amp; Josh Weinstein","",""
"","Homer vs . Patty &amp; Selma","","Brent Forrester","",""
"","Lisa&apos;s Wedding","","Greg Daniels","",""
"","Two Dozen and One Greyhounds","","Mike Scully","",""
"","The PTA Disbands","","Jennifer Crittenden","",""
"","&apos;Round Springfield","","Joshua Sternin &amp; Jeff Ventimilia","",""
"","The Springfield Connection","","John Collier","",""
"","Lemon of Troy","","Brent Forrester","",""
"","Who Shot Mr . Burns ? ( Part One )","","Bill Oakley &amp; Josh Weinstein","",""

