"Hendrik Willem van Loon","The Story of Mankind"
"Hugh Lofting","The Voyages of Dr . Dolittle"
"","The Dark Frigate"
"","Tales from Silver Lands"
"","Shen of the Sea"
"","Smoky the Cow Horse"
"Dhan Gopal Mukerji","Gayneck , the Story of a Pigeon"
"Eric P . Kelly","The Trumpeter of Krakow"
"","Hitty , Her First Hundred Years"
"","The Cat Who Went to Heaven"
"","Waterless Mountain"
"","Young Fu of the Upper Yangtze"
"","Invincible Louisa"
"","Dobry"
"Carol Ryrie Brink","Caddie Woodlawn"
"Ruth Sawyer","Roller Skates"
"Kate Seredy","The White Stag"
"","Thimble Summer"
"","Daniel Boone"
"","Call It Courage"
"Walter D . Edmonds","The Matchlock Gun"
"Elizabeth Gray Vining","Adam of the Road"
"Esther Forbes","Johnny Tremain"
"","Rabbit Hill"
"","Strawberry Girl"
"","Miss Hickory"
"William Pene du Bois","The Twenty - One Balloons"
"Marguerite Henry","King of the Wind"
"","The Door in the Wall"
"","Amos Fortune , Free Man"
"","Ginger Pye"
"Ann Nolan Clark","Secret of the Andes"
"","And Now Miguel"
"Meindert DeJong","The Wheel on the School"
"","Carry On , Mr . Bowditch"
"","Miracles on Maple Street"
"","Rifles for Watie"
"Elizabeth George Speare",""
"","Onion John"
"Scott O&apos;Dell","Island of the Blue Dolphins"
"Elizabeth George Speare","The Bronze Bow"
"Madeleine L&apos;Engle","A Wrinkle in Time"
"","It&apos;s Like This , Cat"
"","Shadow of a Bull"
"","I , Juan de Pareja"
"","Up a Pond Slowly"
"E . L . Konigsburg","From the Mixed - Up Files of Mrs . Basil E . Frankweiler"
"Lloyd Alexander","The High King"
"","Sounder"
"","Summer of the Swans"
"","Mrs . Frisby and the Rats of NIMH"
"Jean Craighead George","Julie of the Wolves"
"","The Slave Dancer"
"","M . C . Higgins , the Great"
"Susan Cooper","The Grey King"
"Mildred Taylor","Roll of Thunder , Hear My Cry"
"Katherine Paterson","Bridge to Terabithia"
"Ellen Raskin","The Westing Game"
"","A Gathering of Days : A New England Girl&apos;s Journal"
"Katherine Paterson","Jacob Have I Loved"
"","A Visit to William Blake&apos;s Inn"
"Cynthia Voigt",""
"Beverly Cleary","Dear Mr . Henshaw"
"Robin McKinley","The Hero and the Crown"
"","Sarah , Plain and Tall"
"Sid Fleischman","The Whipping Boy"
"","Lincoln : A Photobiography"
"","Joyful Noise"
"Lois Lowry","Number the Stars"
"Jerry Spinelli","Maniac Magee"
"","Shiloh"
"Cynthia Rylant","Missing May"
"Lois Lowry","The Giver"
"Sharon Creech","Walk Two Moons"
"","The Midwife&apos;s Apprentice"
"E . L . Konigsburg",""
"Karen Hesse",""
"Louis Sachar","Holes"
"",""
"","A Year Down Yonder"
"Linda Sue Park","A Single Shard"
"Avi","Crispin : The Cross of Lead"
"Kate DiCamillo","The Tale of Despereaux"
"Cynthia Kadohata","Kira - Kira"

