"","","",""
"","Vector Prime","R . A . Salvatore",""
"","Dark Tide I - Onslaught","Michael A . Stackpole",""
"","Dark Tide II - Ruin","Michael A . Stackpole",""
"","Hero&apos;s Trial - Agents of Chaos I","James Luceno",""
"","Jedi Eclipse - Agents of Chaos II by","Luceno",""
"","Balance Point","Kathy Tyers",""
"","Conquest - Edge of Victory 1","Greg Keyes",""
"","Rebirth - Edge of Victory II","Greg Keyes",""
"","Star by Star -","",""
"","Dark Journey","Elaine Cunningham",""
"","Rebel Dream - Enemy Lines I","Aaron Allston",""
"","Rebel Stand - Enemy Lines II","Aaron Allston",""
"","Traitor","",""

