"The Secret of the Old Clock","1930",""
"The Hidden Staircase","1930",""
"The Bungalow Mystery","1930",""
"The Mystery at Lilac Inn","1930",""
"The Secret at Shadow Ranch","1930",""
"The Secret of Red Gate Farm","1931",""
"The Clue in the Diary","1932",""
"The Clue of the Broken Locket","1934",""
"The Message in the Hollow Oak","1935",""
"The Mystery of the Ivory Charm","1936",""
"The Whispering Statue","1937",""
"The Haunted Bridge","1937",""
"The Clue of the Tapping Heels","1939",""
"The Mystery of the Brass Bound Trunk","1940",""
"The Mystery at the Moss - Covered Mansion","1941",""
"The Quest of the Missing Map","1942",""
"The Clue in the Jewel Box","1943",""
"The Secret in the Old Attic","1944",""
"The Clue in the Crumbling Wall","1945",""
"The Mystery of the Tolling Bell","1946",""
"The Clue in the Old Album","1947",""
"The Ghost of Blackwood Hall","1948",""
"The Clue of the Velvet Mask","1953",""

