"Ryerson Polytechnical University","Toronto","","",""
"McMaster University","Hamilton","","",""
"Queen&apos;s University","Kingston","","",""
"Carleton University","Ottawa","","",""
"Guelph University","Guelph","","",""
"University of Waterloo","Waterloo","","",""
"University of Ottawa","Ottawa","","",""
"University of Western Ontario","London","","",""
"University of Windsor","Windsor","","",""
"York University","Toronto","","",""
"Lakehead University","Thunder Bay","","",""
"Brock University","St . Catharines","","",""
"Laurentian University","Sudbury","","",""
"Wilfrid Laurier University","Waterloo","","",""
"Trent University","Peterborough","","",""

