"Pierre Savorgan de Brazza","Italian","","French Congo &apos;s founder"
"Vasco NÃÂºÃÂ±ez de Balboa","Spanish","",""
"William Baffin","","",""
"Samuel Baker","","","Africa"
"Heinrich Barth","","","Northern and Central Africa"
"Willem Barents","Dutch","","Novaya Zemlya Northeast Passage"
"George Bass","Australian","",""
"Abu Abdullah Muhammad Ibn Battuta","China","places","Tombouctou and other"
"Nicolas Baudin","French","18th","Australian"
"Fabian Gottlieb von Bellingshausen","Russian","",""
"Moric Benovsky","","","Slovak"
"Vitus Bering","","",""
"Vittorio Bottego","Italian","","north - east Africa"
"Saint Brendan","Irish","","Atlantic Ocean"
"James Bruce","","",""
"William Bruce","Scottish","","Antarctica"
"Richard Francis Burton","","","Lake Tanganyika"
"Richard E . Byrd","","","South Pole"

