"Sunbeam Alpine","Dr No"
"","From Russia with Love"
"Aston Martin DB5","Goldfinger"
"Aston Martin DB5","Thunderball"
"Toyota 2000 GT","You Only Live Twice"
"",""
"Aston Martin DB5","On Her Majesty&apos;s Secret Service"
"Mustang Mach 1","Diamonds Are Forever"
"",""
"",""
"Lotus Espirit","The Spy who Loved Me"
"",""
"Citroen 2CV","For Your Eyes Only"
"Mercedes","Octopussy"
"",""
"",""
"BMW Z3","The Living Daylights"
"",""
"BMW Z3","Goldeneye"
"750iL and BMW","Tomorrow Never Dies"
"BMW Z8","The World Is Not Enough"
"Aston Martin Vanquish","Die Another Day"

