"Dum Multa","","","December 24 , 1902"
"Fin Dal Principio","","","December 8 , 1902"
"Quae Ad Nos","","","November 22 , 1902"
"Mirae Caritatis","","","May 28 , 1902"
"Quod Votis","","","April 30 , 1902"
"In Amplissimo","","","April 15 , 1902"
"Urbanitatis Veteris","","","November 20 , 1901"
"Reputantiubus","","","August 20 , 1901"
"Gravissimas","","","May 16 , 1901"
"Graves De Communi Re","","","January 18 , 1901"
"Omnibus Compertum","","","July 21 , 1900"
"Tametsi Futura Prospicientibus","","","November 1 , 1900"
"Paternae","","","September 18 , 1899"
"Depuis Le Jor","","","September 8 , 1899"
"Annum Sacrum","","","May 25 , 1899"
"Testem Benevolentiae Nostrae","","","January 22 , 1899"
"Quum Diuturnum","","","December 25 , 1898"
"Diuturni Temporis","","","September 5 , 1898"
"Quam Religiosa","","","August 16 , 1898"
"Spesse Volte","","","August 5 , 1898"
"Caritatis Studium","","","July 25 , 1898"
"Affari Vos","","","December 8 , 1897"
"Augustissimae Virginis Mariae","","","September 12 , 1897"
"Militantis Ecclesiae","","","August 1 , 1897"
"Divinum Illud Munus","","","May 9 , 1897"
"Fidentem Piumque Animum","","","September 20 , 1896"
"Apostolicae Curae","","","September 15 , 1896 [ Bull ]"
"Satis Cognitum","","","June 29 , 1896"
"Insignes","","","May 1 , 1896"
"Adiutricem","","","September 5 , 1895"
"Permoti Nos","","","July 10 , 1895"
"Longinqua","","","January 6 , 1895"
"Christi Nomen","","","December 24 , 1894"
"Orientalium Dignitas","","","November 30 , 1894"
"Iucunda Semper Expectatione","","","September 8 , 1894"
"Litteras A Vobis","","","July 2 , 1894"
"","","",""
"Providentissimus Deus","","","November 18 , 1893"
"Laetitiae Sanctae","","","September 8 , 1893"
"Constanti Hungarorum","","","September 2 , 1893"
"Ad Extremas","","","June 24 , 1893"
"Custodi Di Quella Fede","","","December 8 , 1892"
"Inimica Vis","","","December 8 , 1892"
"Magnae Dei Matris","","","September 8 , 1892"
"Quarto Abeunte Saeculo","","","July 16 , 1892"
"Au Milieu Des Sollicitudes","","","February 16 , 1892"
"Octobri Mense","","","September 22 , 1891"
"Pastoralis Officii","","","September 12 , 1891"
"Pastoralis","","","June 25 , 1891"
"Rerum Novarum","","","May 15 , 1891"
"In Ipso","","","March 3 , 1891"
"Catholicae Ecclesiae","","","November 20 , 1890"
"Dall&apos;alto Dell&apos;apostolico Seggio","","","October 15 , 1890"
"Sapientiae Christianae","","","January 10 , 1890"
"Quamquam Pluries","","","August 15 , 1889"
"Magni Nobis","","","March 7 , 1889"
"Exeunte Iam Anno","","","December 25 , 1888"
"Etsi Cunctas","","","December 21 , 1888"
"Quam Aerumnosa","","","December 10 , 1888"
"Saepe Nos","","","June 24 , 1888"
"Libertas","","","June 20 , 1888"
"In Plurimis","","","May 5 , 1888"
"Quod Anniversarius","","","April 1 , 1888"
"Officio Sanctissimo","","","December 22 , 1887"
"Vi E Ben Noto","","","September 20 , 1887"
"Pergrata","","","September 14 , 1886"
"Quod Multum","","","August 22 , 1886"
"Iampridem","","","January 6 , 1886"
"Quod Auctoritate","","","December 22 , 1885"
"Spectata Fides","","","November 27 , 1885"
"Immortale Dei","","","November 1 , 1885"
"Superiore Anno","","","August 30 , 1884"
"Humanum Genus","","","April 20 , 1884"
"Nobilissima Gallorum Gens","","","February 8 , 1884"
"Supremi Apostolatus Officio","","","September 1 , 1883"
"","","",""
"Cum Multa","","","December 8 , 1882"
"Auspicato Concessum","","","September 17 , 1882"
"Etsi Nos","","","February 15 , 1882"
"Licet Multa","","","August 3 , 1881"
"Diuturnum","","","June 29 , 1881"
"Sancta Dei Civitas","","","December 3 , 1880"
"Grande Munus","","","September 30 , 1880"
"Arcanum","","","February 10 , 1880"
"Aeterni Patris","","","August 4 , 1879"
"Quod Apostolici Muneris","","","December 28 , 1878"
"Inscrutabili Dei Consilio","","","April 21 , 1878"

