"Alberta Vocational College","Calgary","",""
"Alberta Vocational College","Edmonton","",""
"Augustana University College","Camrose","",""
"Concordia University College of Alberta","","",""
"Grande Prairie Regional College","Grande Prairie","",""
"Grant MacEwan Community College","Edmonton","",""
"Kings University College","Edmonton","",""
"Lakeland College","Vermilion","",""
"Lethbridge Community","Lethbridge","",""
"Medicine Hat College","Medicine Hat","",""
"Mount Royal College","Calgary","",""
"Olds College","Olds","",""
"Red Deer College","Red Deer","",""
"St . Mary&apos;s College","Calgary","",""

