"","","",""
"Alberta Career Computer Center","Edmonton","",""
"Bow Valley College","Calgary","",""
"CDI College of Business and Technology","Edmonton","",""
"Columbia College","Calgary","",""
"DeVry Institute of Technology","Calgary","",""
"Grant MacEwan College","Edmonton","",""
"Lakeland College","Lloydminster","",""
"Lethbridge Community College","","",""
"Medicine Hat College","","",""
"Mount Royal College","Calgary","",""
"Network Learning Masters","Edmonton","",""
"NorQuest College","Edmonton","",""
"Northern Alberta Institute of Technology ( NAIT )","Edmonton","",""
"Prestwick College","Calgary","",""
"Red Deer College","","",""
"Southern Alberta Institute of Technology ( SAIT )","Calgary","",""
"Trend College","Edmonton","",""

