"PÃÂªro de Barcelos","Portuguese","15th century / 16th century","North America"
"Pierre Savorgan de Brazza","Italian","","French Congo &apos;s founder"
"Vasco NÃÂºÃÂ±ez de Balboa","Spanish","",""
"William Baffin","","",""
"Samuel Baker","","",""
"Heinrich Barth","","","Northern and Central Africa"
"Robert Bartlett","","","Arctic"
"Willem Barents","Dutch","","Novaya Zemlya Northeast Passage"
"George Bass","","","Australia"
"Abu Abdullah Muhammad Ibn Battuta","China","places","Tombouctou and other"
"Nicolas Baudin","French","18th","West Australia n coastline"
"Fabian Gottlieb von Bellingshausen","Russian","",""
"Moric Benovsky","","","Slovak"
"Vitus Bering","","",""
"Vittorio Bottego","Italian","",""
"Saint Brendan","Irish","","Atlantic Ocean"
"James Bruce","","",""
"William S . Bruce","Scottish","","Antarctica"
"Cornelis de Bruijn","","Dutch traveler and artist",""
"Richard Francis Burton","","",""
"Richard E . Byrd","","",""

