"Dr No","1962","","James Bond Theme","","James Barry"
"","1963","","From Russia with Love","","Matt Munro"
"","1964","","Goldfinger","","Shirley Bassey"
"","1965","","Thunderball","","Tom Jones"
"","","","","",""
"Casino Royale","1962","","The Look of Love","","Burt Bacharach"
"","1967","","You Only Live Twice","","Nancy Siinatra"
"","1969","","On Her Majesty&apos;s Secret Service","","Louis Armstrong &amp; Nina"
"","1971","","Diamonds Are Forever","","Shirley Bassey"
"","1973","","Live &amp; Let Die","","Paul McCartney &amp; Wings"
"","1974","","The Man with the Golden Gun","","Lulu"
"The Spy Who Loved Me","1977","","Nobody Does It Better","","Carly Simon"
"","1979","","Moonraker","","Shirley Bassey"
"","1982","","For Your Eyes Only","","Sheena Easton"
"","1983","","Octopussy","","Rita Coolidge"
"","1985","","A View to a Kill","","Duran Duran"
"","1987","","The Living Daylights","","a - ha"
"","1987","","Licence to Kill","","Gladys Knight"
"","1995","","Goldeneye","","Tina Turner"
"","1997","","Tomorrow Never Dies","","Cheryl Crow"
"","1999","","The World Is Not Enough","","Garbage"
"","2002","","Die Another Day","","Madonna"

