"Lois Lowry","The Giver"
"Karen Hesse","Out of the Dust"
"Russell Freedman","Lincoln : A Photobiography"
"Lois Lowry","Number the Stars"
"Paul Fleischman","Joyful Noise : Poems for Two Voices"
"Madeline L&apos;Engle","A Wrinkle in Time"
"Katherine Paterson","Bridge to Terabithia"
"Mildred Taylor","Roll of Thunder , Hear My Cry"
"E . L . Konigsburg","The View from Saturday"
"Karen Cushman","The MidwifeÃÂs Apprentice"
"Patricia MacLachlan","Sarah , Plain and Tall"
"Linda Sue Park","A Single Shard"
"Kate DiCamillo","The Tale of Despereaux"
"William Armstrong","Sounder"
"Ellen Raskin","The Westing Game"
"Cynthia Voigt","Dicey&apos;s Song"
"Robert C . OÃÂBrien","Mrs . Frisby and the Rats of NIMH"
"Maia Wojciechowska","Shadow of a Bull"
"E . L . Konigsburg","From the Mixed - Up Files of Mrs . Basil E . Frankweiler"
"Virginia Hamilton","M . C . Higgins , The Great"
"Richard Peck","A Year Down Yonder"
"Elizabeth Speare","The Bronze Bow"
"Avi","Crispin : The Cross of Lead"
"Sid Fleischman","The Whipping Boy"
"Cynthia Rylant","Missing May"
"Louis Sachar","Holes"
"William PÃÂ¨ne du Bois","The Twenty - One Balloons"
"John Krumgold","Onion John"
"Elizabeth Gray","Adam of the Road"
"Marguerite Henry","King of the Wind"
"Joan Blos","A Gathering of Days : A New England Girl&apos;s Journal"
"Kate Seredy","The White Stag"
"Christopher Paul Curtis","Bud , Not Buddy"
"Jerry Spinelli","Maniac Magee"
"Beverly Cleary","Dear Mr . Henshaw"
"Esther Forbes","Johnny Tremain"
"Paula Fox","The Slave Dancer"
"Dhan Mukerji","Gay - Neck , the Story of a Pigeon"
"Armstrong Sperry","Call It Courage"
"Katherine Paterson","Jacob Have I Loved"
"Hugh Lofting","The Voyages of Doctor Dolittle"
"Hendrik van Loon","The Story of Mankind"
"Elizabeth Speare","The Witch of Blackbird Pond"
"Ann Clark","Secret of the Andes"
"Robin McKinley","The Hero and the Crown"
"Arthur Chrisman","Shen of the Sea"
"Phyllis Reynolds Naylor","Shiloh"
"Jean Craighead George","Julie of the Wolves"
"Elizabeth de TreviÃÂ±o","I , Juan de Pareja"
"Harold Keith","Rifles for Watie"
"Sharon Creech","Walk Two Moons"
"Will James","Smoky , the Cowhorse"
"Lloyd Alexander","The High King"
"Scott O&apos;Dell","Island of the Blue Dolphins"
"Meindert DeJong","The Wheel on the School"
"Carol Brink","Caddie Woodlawn"
"Elizabeth Lewis","Young Fu of the Upper Yangtze"
"Jean Latham","Carry On , Mr . Bowditch"
"Marguerite de Angeli","The Door in the Wall"
"Eric Kelly","The Trumpeter of Krakow"
"Laura Armer","Waterless Mountain"
"Carolyn Bailey","Miss Hickory"
"Susan Cooper","The Grey King"
"Charles Finger","Tales from Silver Lands"
"Nancy Willard",""
"Rachel Field","Hitty , Her First Hundred Years"
"Emily Neville","It&apos;s Like This , Cat"
"Virginia Sorensen","Miracles on Maple Hill"
"Irene Hunt","Up a Road Slowly"
"John Krumgold",". . . And Now Miguel"
"Robert Lawson","Rabbit Hill"
"Ruth Sawyer","Roller Skates"
"Betsy Byars","Summer of the Swans"
"Cornelia Meigs","Invincible Louisa"
"Walter Edmonds","The Matchlock Gun"
"Eleanor Estes","Ginger Pye"
"Elizabeth Coatsworth","Cat Who Went to"
"Lois Lenski","Strawberry Girl"
"Elizabeth Enright","Thimble Summer"
"Charles Hawes","The Dark Frigate"
"Monica Shannon","Dobry"
"James Daugherty","Daniel Boone"
"Elizabeth Yates","Amos Fortune , Free Man"

