"","Homer&apos;s Barbershop Quartet","","","","9F21"
"","Cape Feare","","","","9F22"
"","Rosebud","","","","1F01"
"","Homer Goes To College","","","","1F02"
"","Marge on the Lam","","","","1F03"
"","Tree House of Horror IV : The Simpson&apos;s Halloween Special IV","","","","1F04"
"","Bart&apos;s Inner Child","","","","1F05"
"","Boy Scoutz N the Hood","","","","1F06"
"","The Last Temptation of Homer","","","","1F07"
"","$pringfield ( or How I Learned to Stop Worrying and Love Legalized Gambling )","","","","1F08"
"","Homer the Vigilante","","","","1F09"
"","Homer and Apu","","","","1F10"
"","Bart Gets Famous","","","","1F11"
"","Lisa vs . Mailbu Stacy","","","","1F12"
"","Deep Space Homer","","","","1F13"
"","Homer Loves Flanders","","","","1F14"
"","Barts Gets an Elephant","","","","1F15"
"","Burns Heir","","","","1F16"
"","Sweet Seymour Skinner&apos;s Baadasssss Song","","","","1F18"
"","The Boy Who Knew Too Much","","","","1F19"
"","Secrets of a Successful Marriage","","","","1F20"
"","Lady Bouvier&apos;s Lover","","","","1F21"

