"","Homer&apos;s Barbershop Quartet","","","September 30 , 1993","9F21"
"","Cape Feare","","","October 7 , 1993","9F22"
"","Homer Goes to College","","","October 14 , 1993","1F02"
"","Rosebud","","","October 18 , 1993","1F01"
"","Treehouse of Horror IV","","","October 30 , 1993","1F04"
"","Marge on the Lam","","","November 4 , 1993","1F03"
"","Bart&apos;s Inner Child","","","November 11 , 1993","1F05"
"","Boy - Scoutz N the Hood","","","November 18 , 1993","1F06"
"","The Last Temptation of Homer","","","December 9 , 1993","1F07"
"","$pringfield ( Or , How I Learned to Stop Worrying and Love Legalized Gambling )","","","December 16 , 1993","1F08"
"","Homer the Vigilante","","","January 6 , 1994","1F09"
"","Bart Gets Famous","","","February 3 , 1994","1F11"
"","Homer and Apu","","","February 10 , 1994","1F10"
"","Lisa Vs . Malibu Stacy","","","February 17 , 1994","1F12"
"","Deep Space Homer","","","February 24 , 1994","1F13"
"","Homer Loves Flanders","","","March 17 , 1994","1F14"
"","Bart Gets an Elephant","","","March 31 , 1994","1F15"
"","Burns&apos; Heir","","","April 14 , 1994","1F16"
"","Sweet Seymour Skinner&apos;s Baadasssss Song","","","April 27 , 1994","1F18"
"","The Boy who Knew Too Much","","","May 5 , 1994","1F19"
"","Lady Bouvier&apos;s Lover","","","May 12 , 1994","1F21"
"","Secrets of a Successful Marriage","","","May 19 , 1994","1F20"

