"Hendrik Willem van Loon","The Story of Mankind"
"Hugh Lofting","Voyages of Dr . Dolittle"
"Charles Hawes","The Dark Frigate"
"Charles Finger","Tales from Silver Lands"
"Arthur Bowie Chrisman","Shen of the Sea"
"Will James","Smoky the Cow Horse"
"Dhan Gopal Mukerji","Gayneck , the Story of a Pigeon"
"Eric P . Kelly","The Trumpeter of Krakow"
"Rachel Field","Hitty , Her First Hundred Years"
"Elizabeth Coatsworth","The Cat Who Went to Heaven"
"Laura Adams Armer","Waterless Mountain"
"Elizabeth Foreman Lewis","Young Fu of the Upper Yangtze"
"Cornelia Meigs","Invincible Louisa"
"Monica Shannon","Dobry"
"Carol Ryrie Brink","Caddie Woodlawn"
"Ruth Sawyer","Roller Skates"
"Kate Seredy","The White Stag"
"Elizabeth Enright","Thimble Summer"
"James Daugherty","Daniel Boone"
"Armstrong Sperry","Call It Courage"
"Walter D . Edmonds","The Matchlock Gun"
"Elizabeth Gray Vining","Adam of the Road"
"Esther Forbes","Johnny Tremain"
"Robert Lawson","Rabbit Hill"
"Lois Lenski","Strawberry Girl"
"Carolyn Sherwin Bailey","Miss Hickory"
"William Pene du Bois","The Twenty - One Balloons"
"Marguerite Henry","King of the Wind"
"Marguerite de Angeli","The Door in the Wall"
"Elizabeth Yates","Amos Fortune , Free Man"
"Eleanor Estes","Ginger Pye"
"Ann Nolan Clark","Secret of the Andes"
"Joseph Krumgold","And Now Miguel"
"Meindert Dejong","The Wheel on the School"
"Jean Lee Latham","Carry On , Mr . Bowditch"
"Virginia Sorenson","Miracles on Maple Street"
"Harold Keith","Rifles for Watie"
"Elizabeth George Speare","The Witch of Blackbird Pond"
"Joseph Krumgold","Onion John"
"Scott O&apos;Dell","Island of the Blue Dolphins"
"Elizabeth George Speare","The Bronze Bow"
"Madeleine L&apos;Engle","A Wrinkle in Time"
"Emily Cheney Neville","It&apos;s Like This , Cat"
"Maia Wojciechowska","Shadow of a Bull"
"Elizabeth Borten de Trevino","I , Juan de Pareja"
"Irene Hunt","Up a Pond Slowly"
"E . L . Konigsburg","From the Mixed - Up Files of Mrs . Basil E . Frankweiler"
"Lloyd Alexander","The High King"
"William H . Armstrong","Sounder"
"Betsy Byars","Summer of the Swans"
"Robert C . Obrien","Mrs . Frisby and the Rats of NIMH"
"Jean Craighead George","Julie of the Wolves"
"Paula Fox","The Slave Dancer"
"Virginia Hamilton","M . C . Higgins , the Great"
"Susan Cooper","The Grey King"
"Mildred Taylor","Roll of Thunder , Hear My Cry"
"Katherine Paterson","Bridge to Terabithia"
"Ellen Raskin","The Westing Game"
"Joan Blos","A Gathering of Days : A New England Girl&apos;s Journal"
"Katherine Paterson","Jacob Have I Loved"
"Nancy Willard","A Visit to William Blake&apos;s Inn"
"Cynthia Voigt","Dicey&apos;s Song"
"Beverly Cleary","Dear Mr . Henshaw"
"Robin McKinley","The Hero and the Crown"
"Patricia MacLachlan","Sarah , Plain and Tall"
"Sid Fleischman","The Whipping Boy"
"Russell Freedman","Lincoln : A Photobiography"
"Paul Fleischman","Joyful Noise"
"Lois Lowry","Number the Stars"
"Jerry Spinelli","Maniac Magee"
"Phyllis Reynolds Naylor","Shiloh"
"Cynthia Rylant","Missing May"
"Lois Lowry","The Giver"
"Sharon Creech","Walk Two Moons"
"Karen Cushman","The Midwife&apos;s Apprentice"
"E . L . Konigsburg","The View from Saturday"
"Karen Hesse","Out of the Dust"
"Louis Sachar","Holes"
"Christopher Paul Curtis","Bud , Not Buddy"
"Richard Peck","A Year Down Yonder"
"Linda Sue Park","A Single Shard"
"Avi","Crispin : The Cross of Lead"
"Kate DiCamillo","The Tale of Despereaux"
"Cynthia Kadohata","Kira - Kira"

