"Brock University","St . Catharines","","",""
"Carleton University","Ottawa","","",""
"Lakehead University","Thunder Bay","","",""
"Laurentian University","Sudbury","","",""
"McMaster University","Hamilton","","",""
"Nipissing University","North Bay","","",""
"Queen&apos;s University","Kingston","","",""
"Royal Military College of Canada","Kingston","","",""
"Ryerson University","Toronto","","",""
"Trent University","Peterborough","","",""
"University of Guelph","Guelph","","",""
"University of Ontario Institute of Technology","Oshawa","","",""
"University of Ottawa","Ottawa","","",""
"University of Toronto","Toronto","","",""
"University of Waterloo","Waterloo","","",""
"University of Western Ontario","London","","",""
"University of Windsor","Windsor","","",""
"Wilfrid Laurier University","Waterloo","","",""
"York University","Toronto","","",""

