"Simms Taback","Joseph Had a Little Overcoat"
"Mary Azarian","Snowflake Bentley"
"Paul O . Zelinsky","Rapunzel"
"David Wisniewski","Golem"
"Peggy Rathmann","Officer Buckle and Gloria"
"David Diaz","Smoky Night"
"Allen Say","Grandfather&apos;s Journey"
"Emily Arnold McCully","Mirette on the High Wire"
"David Wiesner","Tuesday"
"David Macaulay","Black and White"
"Ed Young","Lon Po Po : A Red - Riding Hood Story from China"
"Stephen Gammell","Song and Dance Man"
"John Schoenherr","Owl Moon"
"Richard Egielski","Hey , Al"
"Chris Van Allsburg","The Polar Express"
"Trina Schart Hyman","Saint George and the Dragon"
"Alice and Martin Provensen","The Glorious Flight : Across the Channel with Louis"
"Marcia Brown","Shadow"
"Chris Van Allsburg","Jumanji"
"Arnold Lobel","Fables"
"Barbara Cooney","Ox - Cart Man"
"Paul Goble","The Girl Who Loved Wild Horses"
"Peter Spier","Noah&apos;s Ark"
"Leo and Diane Dillon","Ashanti to Zulu : African Traditions"
"Leo and Diane Dillon","Why Mosquitoes Buzz in People&apos;s Ears : A West African Tale"
"Gerald McDermott","Arrow to the Sun"
"Margot Zemach","Duffy and the Devil"
"Blair Lent","The Funny Little Woman"
"Nonny Hogrogian","One Fine Day"
"Gail E . Haley","A Story - - A Story"
"William Steig","Sylvester and the Magic Pebble"
"Uri Shulevitz","The Fool of the World and the Flying Ship"
"Ed Emberley","Drummer Hoff"
"Evaline Ness","Sam , Bangs &amp; Moonshine"
"Nonny Hogrogian","Always Room for One More"
"Beni Montresor","May I Bring a Friend"
"Maurice Sendak","Where the Wild Things Are"
"Ezra Jack Keats","The Snowy Day"
"Marcia Brown","Once a Mouse"
"Nicolas Sidjakov","Baboushka and the Three Kings"
"Marie Hall Ets","Nine Days to Christmas"
"Barbara Cooney","Chanticleer and the Fox"
"Robert McCloskey","Time of Wonder"
"Marc Simont","A Tree is Nice"
"Feodor Rojankovsky","Frog Went A - Courtin&apos;"
"Marcia Brown","Cinderella , or , The Little Glass Slipper"
"Ludwig Bemelmans","Madeline&apos;s Rescue"
"Lynd K . Ward","The Biggest Bear"
"Nicolas Mordvinoff","Finders Keepers"
"Katherine Milhous","The Egg Tree"
"Leo Politi","Song of the Swallows"
"Berta and Elmer Hader","The Big Snow"
"Roger Duvoisin","White Snow , Bright Snow"
"Leonard Weisgard","The Little Island"
"Maud and Miska Petersham","The Rooster Crows"
"Elizabeth Orton Jones","Prayer for a Child"
"Louis Slobodkin","Many Moons"
"Virginia Lee Burton","The Little House"
"Robert McClosky","Make Way for Ducklings"
"Robert Lawson","They Were Strong and Good"
"Ingri and Edgar Parin d&apos;Aulaire","Abraham Lincoln"
"Thomas Handforth","Mei Li"
"Dorothy P . Lathrop","Animals of the Bible"

