"",""
"",""
"",""
"Toy Story / Toy Story 2","1995 &amp; 1999"
"",""
"",""
"The Lion King","1994"
"Spirited Away","2001"
"The Incredibles","2004"
"",""
"",""
"",""
"",""
"Finding Nemo","2002"
"",""
"",""
"Aladdin","1992"
"",""
"Who Framed Roger Rabbit ?","1988"
"",""
"",""
"Monsters , Inc .","2001"
"",""
"",""
"Pinnochio","1940"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"Beauty and the Beast","1991"
"",""
"",""
"",""
"",""
"101 Dalmations","1961"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"The Little Mermaid","1989"
"",""
"Fantasia","1940"
"",""
"Winnie the Pooh","1966 - present"
"",""
"The Jungle Book","1967"
"",""
"",""
"Snow White and the Seven Dwarfs","1937"
"",""
"",""
"Bambi","1942"
"",""
"A Bug&apos;s Life","1998"
"",""
"",""
"",""
"",""
"",""
"Alice in Wonderland","1951"
"",""
"",""
"",""
"Lady and the Tramp","1955"
"",""
"",""
"",""
"Peter Pan","1953"
"",""
"",""
"",""
"Dumbo","1941"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""

