"","Cape Feare ( Sideshow Bob Returns )","","Jon Vitti","",""
"","Rosebud","","John Swartzwelder","",""
"","Homer Goes to College","","Conan O&apos;Brien","",""
"","Marge on the Lam","","Bill Canterbury","",""
"","Count Burns","","Bill Canterbury","",""
"","Bart&apos;s Inner Child","","George Meyer","",""
"","Boy - Scoutz &apos;N The Hood","","Dan McGrath","",""
"","The Last Temptation of Homer","","Frank Mula","",""
"","$pringfield","","Bill Oakley &amp; Josh Weinstein","",""
"","Homer the Vigilante","","John Swartzwelder","",""
"","Homer and Apu","","Greg Daniels","",""
"","Bart Gets Famous","","John Swartzwelder","",""
"","Lisa vs . Malibu Stacy","","Bill Oakley &amp; Josh Weinstein","",""
"","Deep Space Homer","","David Mirkin","",""
"","Homer Loves Flanders","","David Richardson","",""
"","Bart Gets an Elephant","","John Swartzwelder","",""
"","Burns&apos;s Heir","","Jace Richdale","",""
"","Sweet Seymour Skinner&apos;s Bad - ass Song","","Bill Oakley &amp; Josh Weinstein","",""
"","Secrets of a Successful Marriage","","Greg Daniels","",""
"","Lady Bouvier&apos;s Lover","","Bill Oakley &amp; Josh Weinstein","",""

