"Ad Extremas","","","June 24 , 1893"
"Adiutricem","","","September 5 , 1895"
"Aeterni Patris","","","August 4 , 1879"
"Affari Vos","","","December 8 , 1897"
"Annum Sacrum","","","May 25 , 1899"
"","","",""
"Arcanum","","","February 10 , 1880"
"Au Milieu Des Sollicitudes","","","February 16 , 1892"
"Augustissimae Virginis Mariae","","","September 12 , 1897"
"Auspicato Concessum","","","September 17 , 1882"
"Caritatis Studium","","","July 25 , 1898"
"Catholicae Ecclesiae","","","November 20 , 1890"
"Christi Nomen","","","December 24 , 1894"
"Constanti Hungarorum","","","September 2 , 1893"
"Cum Multa","","","December 8 , 1882"
"Custodi Di Quella Fede","","","December 8 , 1892"
"Dall&apos;alto Dell&apos;apostolico Seggio","","","October 15 , 1890"
"Depuis Le Jour","","","September 8 , 1899"
"Diuturni Temporis","","","September 5 , 1898"
"Diuturnum","","","June 29 , 1881"
"Divinum Illud Munus","","","May 9 , 1897"
"Dum Multa","","","December 24 , 1902"
"Etsi Cunctas","","","December 21 , 1888"
"Etsi Nos","","","February 15 , 1882"
"Exeunte Iam Anno","","","December 25 , 1888"
"Fidentem Piumque Animum","","","September 20 , 1896"
"Fin Dal Principio","","","December 8 , 1902"
"Grande Munus","","","September 30 , 1880"
"Graves De Communi Re","","","January 18 , 1901"
"Gravissimas","","","May 16 , 1901"
"Humanum Genus","","","April 20 , 1884"
"Iampridem","","","January 6 , 1886"
"Immortale Dei","","","November 1 , 1885"
"In Amplissimo","","","April 15 , 1902"
"In Ipso","","","March 3 , 1891"
"In Plurimis","","","May 5 , 1888"
"Inimica Vis","","","December 8 , 1892"
"Inscrutabili Dei Consilio","","","April 21 , 1878"
"Insignes","","","May 1 , 1896"
"Iucunda Semper Expectatione","","","September 8 , 1894"
"Laetitiae Sanctae","","","September 8 , 1893"
"Libertas","","","June 20 , 1888"
"Licet Multa","","","August 3 , 1881"
"Litteras A Vobis","","","July 2 , 1894"
"Longinqua","","","January 6 , 1895"
"Magnae Dei Matris","","","September 8 , 1892"
"Magni Nobis","","","March 7 , 1889"
"Militantis Ecclesiae","","","August 1 , 1897"
"Mirae Caritatis","","","May 28 , 1902"
"","","",""
"Nobilissima Gallorum Gens","","","February 8 , 1884"
"Octobri Mense","","","September 22 , 1891"
"Officio Sanctissimo","","","December 22 , 1887"
"Omnibus Compertum","","","July 21 , 1900"
"Orientalium Dignitas","","","November 30 , 1894"
"Pastoralis Officii","","","September 12 , 1891"
"Pastoralis","","","June 25 , 1891"
"Paternae","","","September 18 , 1899"
"Pergrata","","","September 14 , 1886"
"Permoti Nos","","","July 10 , 1895"
"","","",""
"Providentissimus Deus","","","November 18 , 1893"
"Quae Ad Nos","","","November 22 , 1902"
"Quam Aerumnosa","","","December 10 , 1888"
"Quam Religiosa","","","August 16 , 1898"
"Quamquam Pluries","","","August 15 , 1889"
"Quarto Abeunte Saeculo","","","July 16 , 1892"
"Quod Anniversarius","","","April 1 , 1888"
"Quod Apostolici Muneris","","","December 28 , 1878"
"Quod Auctoritate","","","December 22 , 1885"
"Quod Multum","","","August 22 , 1886"
"Quod Votis","","","April 30 , 1902"
"Quum Diuturnum","","","December 25 , 1898"
"Reputantiubus","","","August 20 , 1901"
"Rerum Novarum","","","May 15 , 1891"
"Saepe Nos","","","June 24 , 1888"
"Sancta Dei Civitas","","","December 3 , 1880"
"Sapientiae Christianae","","","January 10 , 1890"
"Satis Cognitum","","","June 29 , 1896"
"Spectata Fides","","","November 27 , 1885"
"Spesse Volte","","","August 5 , 1898"
"Superiore Anno","","","August 30 , 1884"
"Supremi Apostolatus Officio","","","September 1 , 1883"
"Tametsi Futura Prospicientibus","","","November 1 , 1900"
"Testem Benevolentiae Nostrae","","","January 22 , 1899"
"Urbanitatis Veteris","","","November 20 , 1901"
"Vi E Ben Noto","","","September 20 , 1887"

