"","Vector Prime","R . A . Salvator",""
"","Dark Tide I : Onslaught","Michael Stackpole",""
"","Dark Tide II : Ruin","Michael Stackpole",""
"","Agents of Chaos I : Hero&apos;s Trial","James Luceno",""
"","Agents of Chaos II : Jedi Eclipse","James Luceno",""
"","Balance Point","Kathy Tyers",""
"","Recovery","Troy Denning",""
"","Edge of Victory I : Conquest","Greg Keyes",""
"","Edge of Victory II : Rebirth","Greg Keyes",""
"","Star by Star","Troy Denning",""
"","Dark Journey","Elaine Cunningham",""
"","Enemy Lines I : Rebel Dream","Aaron Allston",""
"","Enemy Lines II : Rebel Stand","Aaron Allston",""
"","Traitor","Matthew Wooding Stover",""

