"Alberta College of Art and Design","Calgary","",""
"Alliance University College","Calgary","",""
"Athabasca University","Athabasca","",""
"Banff Centre for Continuing Education","Banff","",""
"Bow Valley College","Calgary","",""
"Canadian Nazarene University College","Calgary","",""
"Canadian University College","Lacombe","",""
"Concordia University College of Alberta","Edmonton","",""
"DeVry Institute of Technology - Calgary","Calgary","",""
"Grande Prairie Regional College","Grande Prairie","",""
"Grant MacEwan College","Edmonton","",""
"Keyano College","Fort McMurray","",""
"Lakeland College","Vermilion","",""
"Lethbridge Community College","Lethbridge","",""
"Medicine Hat College","Medicine Hat","",""
"Mount Royal College","Calgary","",""
"NorQuest College","Edmonton","",""
"Northern Alberta Institute of Technology ( NAIT )","Edmonton","",""
"Northern Lakes College","Slave Lake","",""
"Olds College","Olds","",""
"Portage College","Lac La Biche","",""
"Red Deer College","Red Deer","",""
"Southern Alberta Institute of Technology ( SAIT )","Calgary","",""
"St . Mary&apos;s University College","Calgary","",""
"Taylor University College and Seminary","Edmonton","",""
"The King&apos;s University College","Edmonton","",""
"University of Alberta","Edmonton","",""
"University of Calgary","Calgary","",""
"University of Lethbridge","Lethbridge","",""

