"Dr . No","","","&apos;The James Bond Theme&apos;","","Monty Norman Orchestra"
"","","","&apos;From Russia With Love&apos;","Lionel Bart","Matt Monroe"
"","","","&apos;Goldfinger&apos;","Bricusse / Newley / Barry","Shirley Bassey"
"","","","&apos;Thunderball&apos;","Barry / Black","Tom Jones"
"&apos;You Only Live Twice&apos;","","","","Bricusse / Barry","Nancy Sinatra"
"","","","&apos;On Her Majesty&apos;s Secret Service&apos;","","The John Barry Orchestra"
"","","","&apos;Diamonds Are Forever&apos;","Barry / Black","Shirley Bassey"
"","","","&apos;Live and Let Die&apos;","Paul and Linda McCartney","Paul McCartney / Wings"
"","","","&apos;The Man With the Golden Gun&apos;","Barry / Black","Lulu"
"&apos;The Spy Who Loved Me&apos;","","","&apos;Nobody Does it Better&apos;","Hamlisch / Bayer Sager","Carly Simon"
"","","","&apos;Moonraker&apos;","Barry / David","Shirley Bassey"
"","","","&apos;For Your Eyes Only&apos;","Conti / Leeson","Sheena Easton"
"&apos;Octopussy&apos;","","","&apos;All Time High&apos;","Barry / Rice","Rita Coolidge"
"","","","&apos;A View To a Kill&apos;","Duran Duran / Barry","Duran Duran"
"","","","&apos;The Living Daylights","Waaktaar / Barry","A - Ha"
"","","","&apos;Licence to Kill&apos;","Walden / Cohen / Afanasieff / Barry / Bricusse / Newley","Gladys Knight"
"","","","&apos;Goldeneye&apos;","Bono / The Edge","Tina Turner"
"","","","&apos;Tomorrow Never Dies&apos;","Sheryl Crow / David Arnold","Sheryl Crow"
"","","","&apos;The World is Not Enough&apos;","Arnold / Black","Garbage"
"","","","&apos;Die Another Day&apos;","Madonna / Mirwais","Madonna"

