"Academy of Learning","Airdrie","",""
"Alberta Career Computer Centre","Edmonton","",""
"Athabasca University","","",""
"Bow Valley College","Calgary","",""
"CDI College of Business and Technology","Edmonton","",""
"Concordia University College of Alberta","Edmonton","",""
"DeVry Institute of Technology","Calgary","",""
"Grande Prairie Regional College","","",""
"Grant MacEwan College","Edmonton","",""
"Keyano College","Fort McMurray","",""
"The King&apos;s University College","Edmonton","",""
"Lakeland College","Lloydminster","",""
"Lethbridge Community College","","",""
"Medicine Hat College","","",""
"Mount Royal College","Calgary","",""
"Network Learning Masters","Edmonton","",""
"Northern Alberta Institute of Technology","Edmonton","",""
"Prestwick College","Calgary","",""
"Red Deer College","","",""
"Southern Alberta Institute of Technology ( SAIT )","Calgary","",""
"Sprott - Shaw Community College","Calgary","",""
"the University of Alberta","Edmonton and Camrose","",""
"the University of Calgary","","",""
"the University of Lethbridge","","",""

