"","","",""
"The Good Night","2006","",""
"Nobel Son","2006","",""
"","","",""
"The OH in Ohio","2005","Wayne",""
"Relative Strangers","2005","Frank Menure",""
"Be Cool","2005","Martin Weir",""
"Marilyn Hotchkiss&apos; Ballroom Dancing and Charm School","2005","Booth",""
"Christmas in Love","2004","Brad",""
"","","",""
"","","",""
"","","",""
"Big Fish","2003","Amos Calloway",""
"","","",""
"","","",""
"Austin Powers in Goldmember","2002","",""
"Death to Smoochy","2002","Burke Bennett",""
"Heist","2001","Bergman",""
"What&apos;s the Worst That Could Happen ?","2001","Max Fairbanks",""
"Screwed","2000","Grover Cleaver",""
"Drowning Mona","2000","Wyatt Rash",""
"Man on the Moon","1999","George Shapiro",""
"The Big Kahuna","1999","Phil Cooper",""
"The Virgin Suicides","1999","Dr . Horniker",""
"Living Out Loud","1998","Pat Francato",""
"The Rainmaker","1997","Deck Shifflet",""
"Hercules","1997","Philoctetes",""
"L . A . Confidential","1997","Sid Hudgens",""
"Disney Sing - Along - Songs : Zero to Hero","1997","Philoctetes",""
"Hercules","1997 / II","Philoctetes",""
"Mars Attacks","1996","Rude Gambler",""
"Space Jam","1996","Mr . Swackhammer",""
"Matilda","1996","Harry Wormwood",""
"","","",""
"Get Shorty","1995","Martin Weir",""
"Junior","1994","Larry Arbogast",""
"Renaissance Man","1994","Bill Rago",""
"","","",""
"","","",""
"Jack the Bear","1993","John Leary",""
"Hoffa","1992","Bobby Ciaro",""
"Batman Returns","1992","Penguin",""
"","","",""
"Other People&apos;s Money","1991","Lawrence Garfield",""
"","","",""
"The War of the Roses","1989","Gavin D&apos;Amato",""
"Twins","1988","Vincent Benedict",""
"Throw Momma from the Train","1987","",""
"Tin Men","1987","Ernest Tilley",""
"Ruthless People","1986","Sam Stone",""
"My Little Pony : The Movie","1986","Grundle King",""
"Wise Guys","1986","Harry Valentini",""
"","","",""
"The Jewel of the Nile","1985","Ralph",""
"","","",""
"Johnny Dangerously","1984","Burr",""
"","","",""
"","","",""
"Romancing the Stone","1984","Ralph",""
"Terms of Endearment","1983","Vernon Dahlart",""
"","","",""
"Going Ape","1981","Lazlo",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"One Flew Over the Cuckoo&apos;s Nest","1975","Martini",""
"Hurry Up , or I&apos;ll Be 30","1973","Petey",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""

