"Dorothy P . Lathrop","Animals of the Bible"
"Thomas Handforth","Mei Li"
"Ingri &amp; Edgar Parin d&apos;Aulaire","Abraham Lincoln"
"Robert Lawson","They Were Strong and Good"
"Robert McCloskey","Make Way for Ducklings"
"Virginia Lee Burton","The Little House"
"Louis Slobodkin","Many Moons"
"Elizabeth Orton Jones","Prayer for a Child"
"Maude &amp; Miska Petersham","The Rooster Crows"
"Leonard Weisgard","The Little Island"
"Roger Duvoisin","White Snow , Bright Snow"
"Bertha &amp; Elmer Hader","The Big Snow"
"Leo Politi","Song of the Swallows"
"Katherine Milhous","The Egg Tree"
"Nicholas Mordvinof","Finders Keepers"
"Lynd Ward","The Biggest Bear"
"Ludwig Bemelmans","Madeline&apos;s Rescue"
"Marcia Brown","Cinderella , or the Little Glass Slipper"
"by Feodor Rojankovsky","Frog Went A - Courtin&apos;"
"Marc Simont","A Tree Is Nice"
"Robert McCloskey","Time of Wonder"
"Barbara Cooney","Chanticleer and the Fox"
"Marie Hall Ets","Nine Days to Christmas"
"Nicolas Sidjakov","Baboushka and the Three Kings"
"Marcia Brown","Once a Mouse"
"Ezra Jack Keats","The Snowy Day"
"Maurice Sendak","Where the Wild Things Are"
"Beni Montresor","May I Bring a Friend"
"Nonny Hogrogian","Always Room for One More"
"Evaline Ness","Sam"
"Ed Emberley","Drummer Hoff"
"Uri Shulevitz","The Fool of the World and the Flying Ship"
"William Steig","Sylvester and the Magic Pebble"
"Haley","A Story A Story"
"Nonny Hogrogian","One Fine Day"
"Blair Lent","The Funny Little Woman"
"Margot Zemach","Duffy and the Devil"
"Gerald McDermott","Arrow to the Sun"
"Leo and Diane Dillon","Why Mosquitoes Buzz in People&apos;s Ears"
"Leo and Diane Dillon","Ashanti to Zulu : African Traditions"
"Peter Spier","Noah&apos;s Ark"
"Paul Goble","The Girl Who Loved Wild Horses"
"Barbara Cooney","Ox - Cart Man"
"Arnold Lobel","Fables"
"Chris Van Allsburg","Jumanji"
"Marcia Brown","Shadow"
"Alice &amp; Martin Provensen","The Glorious Flight : Across the Channel with Louis Bleriot"
"Hyman","George and the Dragon"
"Chris Van Allsburg","The Polar Express"
"Richard Egielski","Hey , Al"
"John Schoenherr","Owl Moon"
"Stephen Gammell","Song and Dance Man"
"Ed Young","Lon Po Po : A Red - Riding Hood Story from China"
"David Macaulay","Black and White"
"David Wiesner","Tuesday"
"Emily Arnold McCully","Mirette on the High Wire"
"Allen Say","Grandfather&apos;s Journey"
"David Diaz","Smoky Night"
"Peggy Rathmann","Officer Buckle and Gloria"
"David Wisniewski","Golem"
"Paul O . Zelinsky","Rapunzel"
"Mary Azarian","Snowflake Bentley"
"Simms Taback","Joseph Had a Little Overcoat"
"David Small","So You Want to Be President"
"David Wiesner","The Three Pigs"
"Eric Rohmann","My Friend Rabbit"
"Mordicai Gerstein","The Man Who Walked Between the Towers"
"Kevin Henkes","Kitten&apos;s First Full Moon"

