"Author","Story Title","Year of first publication"
"Stanley G. Weinbaum","\"A Martian Odyssey\"","1934"
"John W. Campbell","\"Twilight\"","1934"
"Lester del Rey","\"Helen Oâ\u0080\u0099Loy\"","1938"
"Robert A. Heinlein","\"The Roads Must Roll\"","1940"
"Theodore Sturgeon","\"Microcosmic God\"","1941"
"Isaac Asimov","\"Nightfall\"","1941"
"A. E. van Vogt","\"The Weapon Shop\"","1942"
"Lewis Padgett","â\u0080\u009CMimsy Were the Borogovesâ\u0080\u009D","1943"
"Clifford D. Simak","â\u0080\u009CHuddling Placeâ\u0080\u009D","1944"
"Fredric Brown","â\u0080\u009CArenaâ\u0080\u009D","1944"
"Murray Leinster","â\u0080\u009CFirst Contactâ\u0080\u009D","1945"
"Judith Merril","â\u0080\u009CThat Only a Motherâ\u0080\u009D","1948"
"Cordwainer Smith","â\u0080\u009CScanners Live in Vainâ\u0080\u009D","1948"
"Ray Bradbury","â\u0080\u009CMars is Heaven!â\u0080\u009D","1948"
"Cyril M. Kornbluth","â\u0080\u009CThe Little Black Bagâ\u0080\u009D","1950"
"Richard Matheson","â\u0080\u009CBorn of Man and Womanâ\u0080\u009D","1950"
"Fritz Leiber","â\u0080\u009CComing Attractionâ\u0080\u009D","1950"
"Anthony Boucher","â\u0080\u009CThe Quest for Saint Aquinâ\u0080\u009D","1951"
"James Blish","â\u0080\u009CSurface Tensionâ\u0080\u009D","1952"
"Arthur C. Clarke","â\u0080\u009CThe Nine Billion Names of Godâ\u0080\u009D","1953"
"Jerome Bixby","â\u0080\u009CIt's a Good Lifeâ\u0080\u009D","1953"
"Tom Godwin","â\u0080\u009CThe Cold Equationsâ\u0080\u009D","1954"
"Alfred Bester","â\u0080\u009CFondly Fahrenheitâ\u0080\u009D","1954"
"Damon Knight","â\u0080\u009CThe Country of the Kindâ\u0080\u009D","1955"
"Daniel Keyes","â\u0080\u009CFlowers for Algernonâ\u0080\u009D","1959"
"Roger Zelazny","â\u0080\u009CA Rose for Ecclesiastesâ\u0080\u009D","1963"

