"Airlines","Destinations","Terminal"
"Aeroflot operated by Aurora","Vladivostok","International"
"AirAsia X","Kuala Lumpurâ\u0080\u0093International","International"
"AirAsia Zest","Kalibo","International"
"Air Busan","Jeju, Seoul-Gimpo","Domestic"
"Air Busan","Cebu, Da Nang, Fukuoka, Guam, Hong Kong, Kaohsiung, Macau, Osaka-Kansai, Qingdao, Sapporo-Chitose, Siem Reap, Taipei-Taoyuan, Tokyo-Narita, Xi'an, Yanji, Zhangjiajie","International"
"Air China","Beijing-Capital","International"
"Asiana Airlines","Jeju","Domestic"
"Asiana Airlines","Beijing-Capital, Guangzhou, Hangzhou, Kota Kinabalu,[5] Manila, Naha, Saipan, Shanghai-Pudong, Shenyang","International"
"Cebu Pacific","Cebu, Manila","International"
"China Airlines","Taipei-Taoyuan","International"
"China Eastern Airlines","Shanghai-Pudong, Qingdao, Yantai","International"
"China Southern Airlines","Guangzhou, Shenyang, Yanji","International"
"Dragonair","Hong Kong","International"
"Eastar Jet","Jeju","Domestic"
"Eastar Jet","Bangkok-Suvarnabhumi, Osaka-Kansai","International"
"HK Express","Hong Kong","International"
"Japan Airlines","Tokyo-Narita","International"
"Jeju Air","Jeju","Domestic"
"Jeju Air","Bangkok-Suvarnabhumi, Fukuoka, Guam, Naha, Osaka-Kansai, Taipei-Taoyuan","International"
"Jin Air","Jeju","Domestic"
"Jin Air","Cebu, Clark, Da Nang, Naha, Osaka-Kansai","International"
"Korea Express Air","Yangyang","Domestic"
"Korean Air","Jeju, Seoul-Gimpo","Domestic"
"Korean Air","Bangkok-Suvarnabhumi, Beijing-Capital, Cebu, Fukuoka, Guam, Hong Kong, Nagoya-Centrair, Nanjing, Osaka-Kansai, Qingdao, Sapporo-Chitose, Seoul-Incheon, Shanghai-Pudong, Taipei-Taoyuan (begins 25 January 2016),[6] Tokyo-Narita Seasonal: Chiang Mai[7]","International"
"Lao Airlines","Vientiane","International"
"Peach","Osaka-Kansai","International"
"Philippine Airlines","Kalibo, Manila","International"
"Shanghai Airlines","Shanghai-Pudong, Zhangjiajie","International"
"Sky Wings Asia Airlines","Siem Reap","International"
"Thai Airways","Bangkok-Suvarnabhumi","International"
"V Air","Taipei-Taoyuan","International"
"Vietnam Airlines","Hanoi, Ho Chi Minh City","International"

