"Newspaper","Language","Type","Circulation"
"BusinessMirror","English","Broadsheet","National"
"BusinessWorld","English","Broadsheet","National"
"Malaya","English","Broadsheet","National"
"Manila Bulletin","English","Broadsheet","National"
"Philippine Daily Inquirer","English","Broadsheet","National"
"The Daily Tribune","English","Broadsheet","National"
"The Manila Times","English","Broadsheet","National"
"The Philippine Star","English","Broadsheet","National"
"The Standard","English","Broadsheet","National"
"United Daily Press","English","Broadsheet","National"

