"Author","Novel","Description"
"Heinrich B̦ll","Wanderer, kommst Du nach Spa...","This short story takes its title from the German translation of the inscription on the Spartans' tomb. In it a young German soldier at the end of the Second World War is wounded on the Eastern Front and is brought to a field hospital, which had been a school. He wonders if it could be his school, which he had only recently left to become a soldier. On seeing in his own writing the truncated quotation of the title on a chalkboard, his question is answered. (\"Sparta\" was truncated because the narrator had run out of room at the edge of the board.)"
"David Gemmell","Lion of Macedon","Discusses the Battle of Thermopylae several times as part of the studies of the lead character, a Spartan named Parmenion who idolizes Leonidas and owns his sword."
"","The First Chronicles of Druss the Legend","The Battle of Thermopylae very lightly re-sprayed[clarification needed] into Gemmell's Drenai fantasy setting."
"Stephen King","The Dark Tower","Includes a comparison with the Battle of Thermopylae when a character fights alone against a series of enemies coming through a single doorway."
"Valerio Massimo Manfredi","The Spartan","Gives an account of the Battle of Thermopylae. The novel uses the battle to set up one of the protagonists who is apparently sent out on a mission by King Leonidas before the final Persian attack."
"Steven Pressfield","Gates of Fire","Depicts the battle as told by the Spartan helot Xeones, who had been wounded during the fight, but was revived to tell Xerxes of the Spartans' heroism."
"Mary Renault","The Lion in the Gateway","Tells the story of the conflict between the Persians and Greeks across the reigns of Darius and Xerxes, including Marathon, Salamis and Thermopylae."
"John Ringo","Ghost, 2004","Includes a description of the battle fought at Thermopylae and a quote of the epigram by Simonides'."
"Eric Nylund","Halo: The Fall of Reach, 2001","The series' main protagonist, John, is one of 75 children selected for the SPARTAN-II program, a secret project to create an elite corps of supersoldiers. Also, a direct reference to the 300 is made in 2 situations: First where they are watching a holographic image of the battle in their class, and when Dr. Halsey thinks of the Spartans as 'more effective than Homer's gods had ever been' incorrectly labeling them as gods."
"Greg Donegan (pen name of Bob Mayer)","Atlantis: Gate","In the fourth volume (2002) of a Science Fiction series, Leonidas and Thermopylae are part of an interdimensional battle to save all earths from a trans-dimensional race bent on stealing resources from other worlds and destroying them in the process."
"John Ringo","The Hot Gate (Troy Rising, book three)","The second \"troy\"-class massive SAPL-converging-point nickel-iron inflated asteroid battlestation is called Thermopylae, and the name of the third book in the series is named after the translation of Thermopylae."
"Eric Nylund","Halo: Ghosts of Onyx,2006","In the book the SPARTAN-III program,orphans of the raging war with the Covenant are conscripted into three companies: Alpha, Beta, and Gamma. Each company contained around 300 SPARTANs, and both Alpha and Beta companies were slaughtered in a last stand, with the exception of those pulled out before the suicide operation, as well as two other survivors from Beta company."

