"Rank","State","Population as of 2000 Census","Population as of 2010 Census[48]","Change","Percent change"
"1","California","33,871,648","37,253,956","3,382,308","10.0%"
"2","Texas","20,851,820","25,145,561","4,293,741","20.6%"
"3","New York","18,976,457","19,378,102","401,645","2.1%"
"4","Florida","15,982,378","18,801,310","2,818,932","17.6%"
"5","Illinois","12,419,293","12,830,632","411,339","3.3%"
"6","Pennsylvania","12,281,054","12,702,379","421,325","3.4%"
"7","Ohio","11,353,140","11,536,504","183,364","1.6%"
"8","Michigan","9,938,444","9,883,640","â\u0088\u009254,804","â\u0088\u00920.6%"
"9","Georgia","8,186,453","9,687,653","1,501,200","18.3%"
"10","North Carolina","8,049,313","9,535,483","1,486,170","18.5%"
"11","New Jersey","8,414,350","8,791,894","377,544","4.5%"
"12","Virginia","7,078,515","8,001,024","922,509","13.0%"
"13","Washington","5,894,121","6,724,540","830,419","14.1%"
"14","Massachusetts","6,349,097","6,547,629","198,532","3.1%"
"15","Indiana","6,080,485","6,483,802","403,317","6.6%"
"16","Arizona","5,130,632","6,392,017","1,261,385","24.6%"
"17","Tennessee","5,689,283","6,346,105","656,822","11.5%"
"18","Missouri","5,595,211","5,988,927","393,716","7.0%"
"19","Maryland","5,296,486","5,773,552","477,066","9.0%"
"20","Wisconsin","5,363,675","5,686,986","323,311","6.0%"
"21","Minnesota","4,919,479","5,303,925","384,446","7.8%"
"22","Colorado","4,301,261","5,029,196","727,935","16.9%"
"23","Alabama","4,447,100","4,779,736","332,636","7.5%"
"24","South Carolina","4,012,012","4,625,364","613,352","15.3%"
"25","Louisiana","4,468,976","4,533,372","64,396","1.4%"
"26","Kentucky","4,041,769","4,339,367","297,598","7.4%"
"27","Oregon","3,421,399","3,831,074","409,675","12.0%"
"28","Oklahoma","3,450,654","3,751,351","300,697","8.7%"
"29","Connecticut","3,405,565","3,574,097","168,532","4.9%"
"30","Iowa","2,926,324","3,046,355","120,031","4.1%"
"31","Mississippi","2,844,658","2,967,297","122,639","4.3%"
"32","Arkansas","2,673,400","2,915,918","242,518","9.1%"
"33","Kansas","2,688,418","2,853,118","164,700","6.1%"
"34","Utah","2,233,169","2,763,885","530,716","23.8%"
"35","Nevada","1,998,257","2,700,551","702,294","35.1%"
"36","New Mexico","1,819,046","2,059,179","240,133","13.2%"
"37","West Virginia","1,808,344","1,852,994","44,650","2.5%"
"38","Nebraska","1,711,263","1,826,341","115,078","6.7%"
"39","Idaho","1,293,953","1,567,582","273,629","21.1%"
"40","Hawaii","1,211,537","1,360,301","148,764","12.3%"
"41","Maine","1,274,923","1,328,361","53,438","4.2%"
"42","New Hampshire","1,235,786","1,316,470","80,684","6.5%"
"43","Rhode Island","1,048,319","1,052,567","4,248","0.4%"
"44","Montana","902,195","989,415","87,220","9.7%"
"45","Delaware","783,600","897,934","114,334","14.6%"
"46","South Dakota","754,844","814,180","59,336","7.9%"
"47","Alaska","626,932","710,231","83,299","13.3%"
"48","North Dakota","642,200","672,591","30,391","4.7%"
"49","Vermont","608,827","625,741","16,914","2.8%"
"â\u0080\u0094","District of Columbia","572,059","601,723","29,664","5.2%"
"50","Wyoming","493,782","563,626","69,844","14.1%"
"","United States","281,421,906","308,745,538","27,323,632","9.7%"

