"Year","Winner"
"1992","M. R. Bhattathiripad"
"1993","K. P. Narayana Pisharody"
"1993","A. P. Udhayabhanu"
"1993","P. C. Devassia"
"1996","Pala Narayanan Nair"
"1996","Mary John Koothattukulam"
"1996","M. N. Sathyaardhi"
"1996","Kadathanattu Madhavi Amma"
"1997","M. H. Sastrigal"
"1997","V. Anandakuttan Nair"
"1997","Nagavally R. S. Kurup"
"1998","K. Ravi Varma"
"1998","M. S. Menon"
"1998","Akkitham Achuthan Namboothiri"
"1998","Olappamanna Subramanian Namboothirippad"
"1998","K. T. Muhammed"
"1998","Vettoor Raman Nair"
"1998","G. Vivekanandan"
"1999","N. P. Mohammed"
"1999","Puthussery Ramachandran"
"1999","V. V. K. Valath"
"1999","Vaikom Chandrasekharan Nair"
"1999","Thirunalloor Karunakaran"
"1999","Pavanan"
"2000","M. Krishnan Nair"
"2001","Kunjunni Mash"
"2001","M. Achuthan"
"2001","Aymanam Krisha Kaimal"
"2002","M. K. Sanu"
"2002","Narendra Prasad"
"2002","S. K. Marar"
"2002","I. K. K. Menon"
"2003","Kakkanadan"
"2003","M. Sukumaran"
"2003","M. N. Paloor"
"2004","Unnikrishnan Puthoor"
"2004","Vishnunarayanan Namboothiri"
"2004","Panmana Ramachandran Nair"
"2005","Chemmanam Chacko"
"2005","E. Vasu"
"2005","K. S. Narayana Pillai"
"2006","Kadammanitta Ramakrishnan"
"2006","K. Panoor"
"2009","Ettumanoor Somadasan"
"2009","Erumeli Parameswaran Pillai"
"2009","G. Balakrishnan Nair"
"2009","P. V. K. Panayal"
"2010","Omchery N. N. Pillai"
"2010","S. Ramesan Nair"
"2010","K. Gopalakrishnan"
"2010","Malayath Appunni"
"2010","Sarah Thomas"
"2010","Joseph Mattam"
"2011[3]","Chathanathu Achuthanunni"
"2011[3]","P. T. Chacko"
"2011[3]","K. B. Sridevi"
"2011[3]","Joseph Vyttila"
"2013[4]","P. R. Nathan"
"2013","S. K. Vasanthan"
"2013","D. Sreeman Namboothiri"
"2013","M. D. Rathnamma"

