"Plant source","Amount (mg \/ 100g)"
"Papaya","60"
"Strawberry","60"
"Orange","53"
"Lemon","53"
"Pineapple","48"
"Cauliflower","48"
"Kale","41"
"Melon, cantaloupe","40"
"Garlic","31"
"Grapefruit","30"
"Raspberry","30"
"Tangerine","30"
"Mandarin orange","30"
"Passion fruit","30"
"Spinach","30"
"Cabbage raw green","30"
"Lime","30"
"Mango","28"
"Rutabaga","25"
"Blackberry","21"
"Potato","20"
"Melon, honeydew","20"
"Tomato, red","13.7[115]"
"Cranberry","13"
"Tomato","10"
"Blueberry","10"
"Pawpaw","10"

