"","Candidate","Party","Candidate","Party"
"1962","Nalini Ranjan Ghosh","Indian National Congress","Saroj Kumar Chakraborty","Revolutionary Socialist Party[3]"
"1967","B.N.Katham","Indian National Congress","A.H.Besterwitch","Independent[4]"
"1971","Tuna Oraon","Indian National Congress","Birsen Kujar","Communist Party of India (Marxist)[5]"
"1977","Khagendra Nath Dasgupta","Independent","Maya Ray","Indian National Congress[6]"
"1980","Subodh Sen","Communist Party of India (Marxist)","Sriram Singh","Indian National Congress (I)[7]"
"1984","Manik Sanyal","Communist Party of India (Marxist)","Arun Moitra","Indian National Congress[8]"
"1989","Manik Sanyal","Communist Party of India (Marxist)","Sriram Singh","Indian National Congress[9]"
"1991","Jitendra Nath Das","Communist Party of India (Marxist)","Tushar Kanti Choudhuri","Indian National Congress[10]"
"1996","Jitendra Nath Das","Communist Party of India (Marxist)","Deb Prasad Roy","Indian National Congress[11]"
"1998","Minati Sen","Communist Party of India (Marxist)","Kalyan Chakraborty","Trinamool Congress[12]"
"1999","Minati Sen","Communist Party of India (Marxist)","Kalyan Chakraborty","All India Trinamool Congress[13]"
"2004","Minati Sen","Communist Party of India (Marxist)","Parash Datta","All India Trinamool Congress[14]"

