"Year","Title","Role","Notes"
"1974","Ishq Ishq Ishq","",""
"1975","Jaan Hazir Hai","",""
"1978","Toote Khilone","",""
"1979","Jeena Yahan","",""
"1980","Khanjar","Ramesh",""
"1984","Bindiya Chamkegi","Raj A. Kumar",""
"1988","Falak (The Sky)","Inspector Jimmy",""
"1989â\u0080\u00931991","Udaan","",""
"1989","Gawaahi","",""
"1990","Drishti","Nikhil",""
"1991","Nazar","Antique Dealer\/Money Lender",""
"1992","Saatwan Aasman","Dev",""
"2013","Vishwaroopam","R.A.W Agent Colonel Jagannath","Tamil film"
"2013","Vishwaroop","R.A.W Agent Colonel Jagannath",""
"2016","Vishwaroopam II","R.A.W Agent Colonel Jagannath","Tamil film Filming"
"2016","Vishwaroop II","R.A.W Agent Colonel Jagannath","Filming"

