"Contaminant","Accumulation rates (in mg\/kg dry weight)","Binomial name","English name","H-Hyperaccumulator or A-Accumulator P-Precipitator T-Tolerant","Notes","Sources"
"Al-Aluminium","A-","Agrostis castellana","Highland Bent Grass","As(A), Mn(A), Pb(A), Zn(A)","Origin Portugal.","[1]"
"Al - Aluminium","1000","Hordeum vulgare","Barley","xxx","25 records of plants.","[2][3]"
"Al - Aluminium","xxx","Hydrangea spp.","Hydrangea (a.k.a. Hortensia)","xxx","xxx","xxx"
"Al - Aluminium","Al concentrations in young leaves, mature leaves, old leaves, and roots were found to be 8.0, 9.2, 14.4, and 10.1 mg g1, respectively.[4]","Melastoma malabathricum L.","Blue Tongue, or Native Lassiandra","P competes with aluminium and reduces uptake.[5]","xxx","xxx"
"Al-Aluminium","xxx","Solidago hispida (Solidago canadensis L.)","Hairy Goldenrod","xxx","Origin Canada.","[2][3]"
"Al-Aluminium","100","Vicia faba","Horse Bean","xxx","xxx","[2][3]"
"Ag-Silver","xxx","Brassica napus","Rapeseed plant","Cr, Hg, Pb, Se, Zn","Phytoextraction","[6][7]"
"Ag-Silver","xxx","Salix spp.","Osier spp.","Cr, Hg, Se, Petroleum hydrocarbures, Organic solvents, MTBE, TCE and by-products;[7] Cd, Pb, U, Zn (S. viminalix);[8] Potassium ferrocyanide (S. babylonica L.)[9]","Phytoextraction. Perchlorate (wetland halophytes)","[7]"
"Ag-Silver","xxx","Amanita strobiliformis","European Pine Cone Lepidella","Ag(H)","Macrofungi, Basidiomycete. Known from Europe, prefers calcareous areas","[10]"
"Ag-Silver","10-1200","Brassica juncea","Indian Mustard","Ag(H)","Can form alloys of silver-gold-copper","[11]"
"As-Arsenic","100","Agrostis capillaris L.","Common Bent Grass, Browntop. (= A. tenuris)","Al(A), Mn(A), Pb(A), Zn(A)","xxx","[3]"
"As-Arsenic","H-","Agrostis castellana","Highland Bent Grass","Al(A), Mn(A), Pb(A), Zn(A)","Origin Portugal.","[1]"
"As-Arsenic","1000","Agrostis tenerrima Trin.","Colonial bentgrass","xxx","4 records of plants","[3][12]"
"As-Arsenic","27,000 (fronds)[13]","Pteris vittata L.","Ladder brake fern or Chinese brake fern","26% of arsenic in the soil removed after 20 weeks' plantation, about 90% As accumulated in fronds.[14]","Root extracts reduce arsenate to arsenite.[15]","xxx"
