"Currency","Code (ISO 4217)","Rate[25]","Fixed on","Yielded"
"Austrian schilling","ATS","13.7603","1998-12-31","1999-01-01"
"Belgian franc","BEF","40.3399","1998-12-31","1999-01-01"
"Cypriot pound","CYP","0.585274","2007-07-10","2008-01-01"
"Estonian kroon","EEK","15.6466","2010-07-13","2011-01-01"
"Finnish markka","FIM","5.94573","1998-12-31","1999-01-01"
"French franc","FRF","6.55957","1998-12-31","1999-01-01"
"German mark","DEM","1.95583","1998-12-31","1999-01-01"
"Greek drachma","GRD","340.75","2000-06-19","2001-01-01"
"Irish pound","IEP","0.787564","1998-12-31","1999-01-01"
"Italian lira","ITL","1,936.27","1998-12-31","1999-01-01"
"Latvian lats","LVL","0.702804","2013-07-09","2014-01-01"
"Lithuanian litas","LTL","3.4528","2014-07-23","2015-01-01"
"Luxembourgish franc","LUF","40.3399","1998-12-31","1999-01-01"
"Maltese lira","MTL","0.4293","2007-07-10","2008-01-01"
"Mon̩gasque franc","MCF","6.55957","1998-12-31","1999-01-01"
"Dutch guilder","NLG","2.20371","1998-12-31","1999-01-01"
"Portuguese escudo","PTE","200.482","1998-12-31","1999-01-01"
"Slovenian tolar","SIT","239.64","2006-07-11","2007-01-01"
"Slovak koruna","SKK","30.126","2008-07-08","2009-01-01"
"Spanish peseta","ESP","166.386","1998-12-31","1999-01-01"
"Sammarinese lira","SML","1,936.27","1998-12-31","1999-01-01"
"Vatican lira","VAL","1,936.27","1998-12-31","1999-01-01"

