"Year","Number","State","Design"
"2006","1","Schleswig-Holstein","Holstentor in LÃ¼beck"
"2007","2","Mecklenburg-Vorpommern","Schwerin Castle"
"2008","3","Hamburg","St. Michael's Church"
"2009","4","Saarland","Ludwigskirche in SaarbrÃ¼cken"
"2010","5","Bremen","City Hall and Roland"
"2011","6","North Rhine-Westphalia","Cologne Cathedral"
"2012","7","Bavaria","Neuschwanstein Castle near FÃ¼ssen"
"2013","8","Baden-WÃ¼rttemberg","Maulbronn Abbey"
"2014","9","Lower Saxony","St. Michael's Church in Hildesheim"
"2015","10","Hesse","St. Paul's Church in Frankfurt am Main"
"2016","11","Saxony","Zwinger Palace in Dresden"
"2017","12","Rhineland-Palatinate","Porta Nigra in Trier"
"2018","13","Berlin","Charlottenburg Palace"
"2019","14","Saxony-Anhalt","Cathedral of Magdeburg"
"2020","15","Thuringia","Wartburg Castle in Eisenach"
"2021","16","Brandenburg","Sanssouci Palace in Potsdam"

