"Name","Region","Province","French name","Dutch name","German name","Surface Area (ha)"
"Donkmeer","Flanders","East Flanders","Lac de Donk","Donkmeer","","86"
"Grand Large","Wallonia","Hainaut","Grand Large","","","40"
"Ixelles Ponds","Brussels","â\u0080\u0094","Ã\u0089tangs d'Ixelles","Vijvers van Elsene","",""
"Lake BÃ¼tgenbach","Wallonia","LiÃ¨ge","Lac de BÃ¼tgenbach","Meer van BÃ¼tgenbach","BÃ¼tgenbach Stausee","120"
"Lake Eau d'Heure","Wallonia","Hainaut \/ Namur","Lac de l'Eau d'Heure","Meren van het water van de Heure","","617"
"Lake Eupen","Wallonia","LiÃ¨ge","Lac d'Eupen","Meer van Eupen","Eupen Stausee","126"
"Lake Genval","Flanders \/ Wallonia","Flemish Brabant \/ Walloon Brabant","Lac de Genval","Meer van Genval","","18"
"Lake Gileppe","Wallonia","LiÃ¨ge","Lac de la Gileppe","Meer van de Gileppe","","130"
"Lake Kraenepoel","Flanders","East Flanders","Lac de Kraenepoel","Kraenepoelmeer","","22"
"Lake NeufchÃ¢teau","Wallonia","Luxembourg","Lac de NeufchÃ¢teau","Meer van NeufchÃ¢teau","","6"
"Lake Nisramont","Wallonia","Luxembourg","Lac de Nisramont","Meer van Nisramont","","47"
"Lake Robertville","Wallonia","LiÃ¨ge","Lac de Robertville","Meer van Robertville","","62"
"Lake Ry de Rome","Wallonia","Namur","Lac de Ry de Rome","Meer van de Ry de Rome","","25"
"Lake Schulens","Flanders","Limburg","Lac de Schulens","Schulensmeer","","95"
"Lake Virelles","Wallonia","Hainaut","Lac de Virelles","Meer van Virelles","","125"
"Lake Warfaaz","Wallonia","LiÃ¨ge","Lac de Warfaaz","Meer van Warfaaz","","8"

