"Event","Gold","Silver","Bronze"
"48 kg details","Mariya Stadnik Azerbaijan (AZE)","Lorisa Oorzhak Russia (RUS)","So Sim-hyang North Korea (PRK)"
"48 kg details","Mariya Stadnik Azerbaijan (AZE)","Lorisa Oorzhak Russia (RUS)","Lyudmyla Balushka Ukraine (UKR)"
"51 kg details","Sofia Mattsson Sweden (SWE)","Han Kum-ok North Korea (PRK)","Oleksandra Kohut Ukraine (UKR)"
"51 kg details","Sofia Mattsson Sweden (SWE)","Han Kum-ok North Korea (PRK)","Yuri Kai Japan (JPN)"
"55 kg details","Saori Yoshida Japan (JPN)","Sona Ahmadli Azerbaijan (AZE)","Alena Filipava Belarus (BLR)"
"55 kg details","Saori Yoshida Japan (JPN)","Sona Ahmadli Azerbaijan (AZE)","Tonya Verbeek Canada (CAN)"
"59 kg details","Yuliya Ratkevich Azerbaijan (AZE)","Agata Pietrzyk Poland (POL)","Marianna Sastin Hungary (HUN)"
"59 kg details","Yuliya Ratkevich Azerbaijan (AZE)","Agata Pietrzyk Poland (POL)","Hanna Vasylenko Ukraine (UKR)"
"63 kg details","Mio Nishimaki Japan (JPN)","Lubov Volosova Russia (RUS)","Yelena Shalygina Kazakhstan (KAZ)"
"63 kg details","Mio Nishimaki Japan (JPN)","Lubov Volosova Russia (RUS)","Justine Bouchard Canada (CAN)"
"67 kg details","Martine Dugrenier Canada (CAN)","Yulia Bartnovskaya Russia (RUS)","Ifeoma Iheanacho Nigeria (NGR)"
"67 kg details","Martine Dugrenier Canada (CAN)","Yulia Bartnovskaya Russia (RUS)","Badrakhyn Odonchimeg Mongolia (MGL)"
"72 kg details","Qin Xiaoqing China (CHN)","Ochirbatyn Burmaa Mongolia (MGL)","Maider Unda Spain (ESP)"
"72 kg details","Qin Xiaoqing China (CHN)","Ochirbatyn Burmaa Mongolia (MGL)","Stanka Zlateva Bulgaria (BUL)"

