"Callsign","Frequency","City of License"
"WVAB","1550 AM","Virginia Beach, Virginia"
"WVAL","800 AM","Sauk Rapids, Minnesota"
"WVAM","1430 AM","Altoona, Pennsylvania"
"WVAR","600 AM","Richwood, West Virginia"
"WVAX","1450 AM","Charlottesville, Virginia"
"WVBE","610 AM","Roanoke, Virginia"
"WVBF","1530 AM","Middleborough Center, Massachusetts"
"WVBG","1490 AM","Vicksburg, Mississippi"
"WVBS","1470 AM","Burgaw, North Carolina"
"WVCB","1410 AM","Shallotte, North Carolina"
"WVCC","720 AM","Hogansville, Georgia"
"WVCD","790 AM","Bambergâ\u0080\u0093Denmark, South Carolina"
"WVCH","740 AM","Chester, Pennsylvania"
"WVCV","1340 AM","Orange, Virginia"
"WVCY","690 AM","Oshkosh, Wisconsin"
"WVEI","1440 AM","Worcester, Massachusetts"
"WVEL","1140 AM","Pekin, Illinois"
"WVFN","730 AM","East Lansing, Michigan"
"WVGB","1490 AM","Beaufort, South Carolina"
"WVGG","1440 AM","Lucedale, Mississippi"
"WVGM","1320 AM","Lynchburg, Virginia"
"WVHF","1140 AM","Kentwood, Michigan"
"WVHI","1330 AM","Evansville, Indiana"
"WVHU","800 AM","Huntington, West Virginia"
"WVJP","1110 AM","Caguas, Puerto Rico"
"WVJS","1420 AM","Owensboro, Kentucky"
"WVKO","1580 AM","Columbus, Ohio"
"WVLD","1450 AM","Valdosta, Georgia"
"WVLG","640 AM","Wildwood, Florida"
"WVLK","590 AM","Lexington, Kentucky"
"WVLN","740 AM","Olney, Illinois"
"WVLY","1370 AM","Moundsville, West Virginia"
"WVLZ","1180 AM","Knoxville, Tennessee"
"WVMR","1370 AM","Frost, West Virginia"
"WVMT","620 AM","Burlington, Vermont"
"WVNA","1590 AM","Tuscumbia, Alabama"
"WVNE","760 AM","Leicester, Massachusetts"
"WVNJ","1160 AM","Oakland, New Jersey"
"WVNN","770 AM","Athens, Alabama"
"WVNR","1340 AM","Poultney, Vermont"
"WVNT","1230 AM","Parkersburg, West Virginia"
"WVNZ","1320 AM","Richmond, Virginia"
"WVOC","560 AM","Columbia, South Carolina"
"WVOE","1590 AM","Chadbourn, North Carolina"
"WVOG","600 AM","New Orleans, Louisiana"
"WVOI","1480 AM","Marco Island, Florida"
"WVOJ","1570 AM","Fernandina Beach, Florida"
"WVOK","1580 AM","Oxford, Alabama"
"WVOL","1470 AM","Berry Hill, Tennessee"
"WVOM","1450 AM","Rockland, Maine"
"WVON","1690 AM","Berwyn, Illinois"
"WVOP","970 AM","Vidalia, Georgia"
"WVOS","1240 AM","Liberty, New York"
"WVOT","1420 AM","Wilson, North Carolina"
"WVOV","1480 AM","Bridgeport, Alabama"
"WVOW","1290 AM","Logan, West Virginia"
"WVOX","1460 AM","New Rochelle, New York"
"WVOZ","1520 AM","San Juan, Puerto Rico"
"WVPO","840 AM","Stroudsburg, Pennsylvania"
"WVRC","1400 AM","Spencer, West Virginia"
"WVRQ","1360 AM","Viroqua, Wisconsin"
"WVSA","1380 AM","Vernon, Alabama"
"WVSG","820 AM","Columbus, Ohio"
"WVSM","1500 AM","Rainsville, Alabama"
"WVTJ","610 AM","Pensacola, Florida"
"WVTL","1570 AM","Amsterdam, New York"
"WVTS","1240 AM","Dunbar, West Virginia"
"WVUS","1190 AM","Grafton, West Virginia"
"WVWI","1000 AM","Charlotte Amalie, United States Virgin Islands"
"WVXX","1050 AM","Norfolk, Virginia"
"WVZN","1580 AM","Columbia, Pennsylvania"

