"Rank","Airport","Town\/City","Code IATA","Code ICAO","Total passengers 2013","Annual Growth","Change 13\/12"
"1","Paris-Charles de Gaulle","Paris","CDG","LFPG","62,052,917","0.8%",""
"2","Paris-Orly","Paris","ORY","LFPO","28,274,154","3.8%",""
"3","Nice","Nice","NCE","LFMN","11,554,251","3.3%",""
"4","Lyon St ExupÃ©ry","Lyon","LYS","LFLL","8,562,298","1.3%",""
"5","Marseille","Marseille","MRS","LFML","8,260,619","-0.4%",""
"6","Toulouse Blagnac","Toulouse","TLS","LFBO","7,567,634","0.1%",""
"7","BÃ¢le Mulhouse","Mulhouse","MLH","LFSB","5,876,042","9.8%",""
"8","Bordeaux MÃ©rignac","Bordeaux","BOD","LFBD","4,617,608","4.3%",""
"9","Beauvais","Beauvais","BVA","LFOB","3,952,908","2.3%",""
"10","Nantes","Nantes","NTE","LFRS","3,930,849","8.2%",""
"11","Pointe-Ã -Pitre","Pointe-Ã -Pitre","PTP","TFFR","2,033,763","2.0%",""
"12","RÃ©union Roland Garros","RÃ©union","RUN","FMEE","2,001,001","-3.2%",""
"13","Fort-de-France","Fort-de-France","FDF","TFFF","1,685,108","2.8%",""
"14","Lille Lesquin","Lille","LIL","LFQQ","1,661,741","18.9%",""
"15","Montpellier MÃ©diterranÃ©e","Montpellier","MPL","LFMT","1,422,793","10.4%",""
"16","Ajaccio","Ajaccio","AJA","LFKJ","1,350,431","10.8%",""
"17","Strasbourg Entzheim","Strasbourg","SXB","LFST","1,181,149","1.3%",""
"18","Tahiti Faa'a","Tahiti","PPT","NTAA","1,150,610","-0.2%",""
"19","Bastia","Bastia","BIA","LFKB","1,126,096","12.2%",""
"20","Biarritz","Biarritz","BIQ","LFBZ","1,098,079","1.3%",""
"21","Brest","Brest","BES","LFRB","1,003,836","-6.2%",""
"22","Pau","Pau","PUF","LFBP","645,577","5.9%",""
"23","Toulon","Toulon","TLN","LFTH","582,132","0.6%",""
"24","Rennes","Rennes","RNS","LFRN","480,237","6.0%",""
"25","NoumÃ©a La Tontouta","NoumÃ©a","NOU","NWWW","476,174","-2.1%",""
"26","Figari Sud Corse","Porto-Vecchio","FSC","LFKF","451,446","-1.7%",""
"27","Cayenne","Cayenne","CAY","SOCA","436,991","2.6%",""
"28","Carcassonne","Carcassonne","CCF","LFMK","432,712","9.3%",""
"29","Clermont-Ferrand","Clermont-Ferrand","CFE","LFLC","425,896","10.4%",""
"30","NoumÃ©a Magenta","NoumÃ©a","GEA","NWWM","392,317","1.8%",""
"31","Tarbes-Lourdes-PyrÃ©nÃ©es","Tarbes \/ Lourdes","LDE","LFBT","382,186","-6.7%",""
"32","Perpignan","Perpignan","PGF","LFMP","366,551","4.8%",""
"33","Grenoble Isere","Grenoble","GNB","LFLS","337,603","7.5%",""
"34","Mayotte","Mayotte","DZA","FMCZ","325,670","7.1%",""
"35","Calvi","Calvi","CLY","LFKC","302,672","-3.2%",""
"36","Limoges","Limoges","LIG","LFBL","299,654","-2.3%",""
"37","Bergerac","Bergerac","EGC","LFBE","286,226","15.2%",""
"38","Bora Bora","Bora Bora","BOB","NTTB","264,103","4.3%",""
"39","Metz Nancy Lorraine","Metz","ETZ","LFJL","242,995","-12.5%",""
"40","ChambÃ©ry","Chambery","CMF","LFLB","218,120","-4.5%",""
"41","La Rochelle","La Rochelle","LRH","LFBH","216,221","-8.7%",""
"42","BÃ©ziers","Beziers","BZR","LFMU","228,024","1.9%",""
"43","Raiatea","Raiatea","RFP","NTTR","207,065","1.3%",""
"44","Saint Martin","Grand Case","SFG","TFFG","198,603","-0.2%",""
"45","NÃ®mes","Nimes","FNI","LFTW","195,319","5.7%",""
"46","Tours Val de Loire","Tours","TUF","LFOT","181,769","7.3%",""
"47","Lorient","Lorient","LRT","LFRH","166,034","-5.8%",""
"48","Lifou","Lifou","LIF","NWWL","162,836","0.5%",""
"49","Saint Barthelemy","Gustavia","SBH","TFFJ","162,641","6.9%",""
"50","Rodez","Rodez","RDZ","LFCR","143,392","-8.4%",""
"51","Deauville","Deauville","DOL","LFRG","138,554","-2.6%",""
"52","Saint Ã\u0089tienne","Saint Ã\u0089tienne","EBU","LFMH","133,807","21.1%",""
"53","Dinard","Dinard","DNR","LFRD","130,771","-5.6%",""
"54","Huahine","Huahine","HUH","NTTH","121,431","0.6%",""
"55","Quimper","Quimper","UIP","LFRQ","113,419","3.0%",""
"56","Poitiers","Poitiers","PIS","LFBI","107,964","-8.8%",""
"57","Caen","Caen","CFR","LFRK","105,022","4.2%",""
"58","Paris Vatry","ChÃ¢lons-en-Champagne","XCR","LFOK","100,857","14.9%",""
"59","Moorea","Moorea","MOZ","NTTM","85,542","-5.8%",""
"60","Ile des Pins","Ile des Pins","ILP","NWWE","85,109","0.4%",""
"61","Saint Pierre","Saint Pierre","ZSE","FMEP","82,748","-13.6%",""
"62","Dole","Dole","DLE","LFGJ","80,028","132.2%",""
"63","Ouvea","Ouvea","UVE","NWWV","75,952","4.6%",""
"64","Rangiroa","Rangiroa","RGI","NTTG","75,486","-6.0%",""
"65","Mare","Mare","MEE","NWWR","71,601","6.0%",""
"66","Brive","Brive","BVE","LFSL","63,877","11.9%",""
"67","Wallis Hihifo","Mata-Utu","WLS","NLWW","44,681","2.6%",""
"68","Castres","Castres","DCM","LFCK","42,278","7.0%",""
"69","Nuku Hiva","Nuku Hiva","NHV","NTMD","38,755","-1.5%",""
"70","Tikehau","Tikehau","TIH","NTGC","37,490","6.8%",""
"71","Agen","Agen","AGF","LFBA","36,716","8.6%",""
"72","Lannion","Lannion","LAI","LFRO","35,119","7.6%",""
"73","Hiva Oa","Atuona","AUQ","NTMN","26,849","3.0%",""
"74","Fakarava","Fakarava","FAV","NTGF","25,686","2.4%",""
"75","Dijon","Dijon","DIJ","LFSD","25,551","-37.0%",""
"76","Saint Nazaire","Saint Nazaire","SNR","LFRZ","24,793","22.0%",""
"77","Aurillac","Aurillac","AUR","LFLW","23,958","-10.0%",""
"78","Maupiti","Maupiti","MAU","NTTP","21,783","5.5%",""
"79","Rurutu","Rurutu","RUR","NTAR","20,671","-1.6%",""
"80","Tubuai Mataura","Tubuai","TUB","NTAT","20,573","0.0%",""

