"Year","Title"
"1997","Restless Plots"
"1997","Mediums, Well Done!"
"1998","Psi-Lines: A Book of Psychic Quotes"
"1999","Sense and S̩ance"
"2000","Confessions of a 900 Psychic"
"2000","How to Increase Your Income with ESP"
"2001","Silentium"
"2002","Loose Ends: Leaves from a Medium's Notebook"
"2002","Bundles"
"2003","Hand Springs"
"2004","Top Ten Mentalism with Cards"
"2005","Graphick: How to Read Handwriting for Fun and Profit"
"2009","Psychic Blues: Confessions From a Happy Medium"
"2010","Tenebrae"
"2012","Psychic Blues: Confessions of a Conflicted Medium, ISBN 1936239272 ISBN 978-1936239276"

