"Year","Recipient","Work(s)"
"1997","K. Satchidanandan","Malayalam"
"1998","Prabha Varma","Chandana Nazhi"
"1999","Puthussery Ramachandran","Utsava Bali"
"2000","Desamangalam Ramakrishnan","Maravi Ezhuthunnathu"
"2001","Vijayalakshmi","Mazhathan Mattetho Mukham"
"2002","O. N. V. Kurup","Ee Purathana Kinnaram"
"2003","D. Vinayachandran","Samasthakeralam P. O."
"2004","Chemmanam Chacko","Ottayal Pattalam"
"2005","Attoor Ravi Varma","Attoor Ravi Varmayude Kavithakal - Bhaagam 2"
"2006","K. Ayyappa Paniker","K. Ayyappa Panikerude Kavithakal"
"2007","Sugathakumari","Manalezhuthu"
"2008","Vishnunarayanan Namboothiri","Uttarayanam"
"2009","P. K. Gopi","Sushumnayile Sangeetham"
"2010","Ettumanoor Somadasan","Jalasamadhi"
"2011","C. Radhakrishnan","NA"
"2012","Attoor Ravi Varma","NA"
"2013[1]","P. P. Ramachandran","Katte Kadale"

