"Year","Film Title","Director","Notes"
"1974","Sri Srinivasa Kalyana","Vijay","Child actor"
"1975","Daari Tappida Maga","Peketi Sivaram","Child actor, Kitty (Inspector Raju's Son)"
"1988","Chiranjeevi Sudhakara","Singeetam Srinivasa Rao","Debut movie"
"1989","Nanjundi Kalyana","M. S. Rajashekar","Based on William Shakespeare's comedy The Taming of the Shrew"
"1989","Gajapathi Garvabhanga","M. S. Rajashekar",""
"1990","Aasegobba Meesegobba","M. S. Rajashekar","Guest Appearance- Remake of Gol Maal"
"1990","Anukoolakkobba Ganda","M. S. Rajashekar","Remake of Joroo Ka Ghulam and paired with (Actress Vidhyasree)"
"1991","Kalyana Mantapa","V. Govindaraj","Based on Ooty Varai Uravu"
"1991","Sutradhara","M. S. Rajashekar","Story by T. S. Nagabharana- Based on Happy Go Lovely"
"1991","Bharjari Gandu","Renuka Sharma","2nd half based on Apna Desh( which was a remake of Kathanayakudu (1969 film) and also remade as Nam Naadu (1969 film))"
"1993","Anuraagada Alegalu","S. Narayan",""
"1993","Navibbaru Namagibbaru","M. S. Rajashekar",""
"1994","Sagara Deepa","T. S. Nagabharana","Based on novel of same name by Veerappa Moily"
"1995","Aata Hudugaata","B. Ramamurthy","Remake of Khiladi (1992 film)"
"1996","Ibbara Naduve Muddina Aata","Relangi Narasimha Rao",""
"1996","Srimathi Kalyana","C. H. Balaji Singh",""
"1996","Geluvina Saradaara","Relangi Narasimha Rao",""
"1996","Shivaranjini","M. S. Rajashekar","Remake of Dil"
"1999","Tuvvi Tuvvi Tuvvi","Singeetam Srinivasa Rao","Based on Tum Haseen Main Jawaan"
"1999","Swasthik","Upendra",""
"2004","Pakkadmane Hudugi","M. S. Rajashekar","Remake of Hindi film Padosan which itself is based on a Bengali story Pasher Bari by Arun Chowdhury"

