"Rank","City","State","Population (2012)"
"1","Jacksonvillea[â\u0080º]","Florida","836,507[8]"
"2","Charlotte","North Carolina","792,862"
"3","Memphis","Tennessee","676,640"
"4","Washington","District of Columbia","632,323"
"5","Nashvillea[â\u0080º]","Tennessee","624,496"
"6","Baltimore","Maryland","621,342"
"7","Louisvillea[â\u0080º]","Kentucky","605,110"
"8","Virginia Beach","Virginia","448,479"
"9","Atlanta","Georgia","443,775"
"10","Raleigh","North Carolina","423,179"
"11","Miami","Florida","419,777"
"12","New Orleans","Louisiana","384,320"
"13","Tampa","Florida","347,645"
"14","Lexington","Kentucky","305,489"
"15","Greensboro","North Carolina","277,080"
"16","Orlando","Florida","249,562"
"17","Saint Petersburg","Florida","246,541"
"18","Norfolk","Virginia","245,782"
"19","Durham","North Carolina","239,358"
"20","Winston-Salem","North Carolina","234,349"
"21","Hialeah","Florida","231,941"
"22","Chesapeake","Virginia","228,417"
"23","Birmingham","Alabama","212,038"
"24","Richmond","Virginia","210,309"
"25","Montgomery","Alabama","205,293"

